id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,145,0,0
2,0,91,0,0,0,0,0
3,3.548387,1,4,5,0,0,0
4,4.516129,1,2,1,0,0,0
5,4.83871,1,3,2,0,0,0
6,5.483871,1,5,4,0,0,0
7,6.129032,1,5,5,0,0,0
8,7.096774,1,2,1,0,0,0
9,7.419355,1,5,5,0,0,0
10,8.064516,1,5,4,0,0,0
11,8.709677,1,3,2,0,0,0
12,9.677419,1,2,1,0,0,0
13,10,1,3,2,0,0,0
14,10.645161,1,5,4,0,0,0
15,11.290323,1,5,5,0,0,0
16,12.258065,1,4,5,0,0,0
17,12.580645,1,3,2,0,0,0
18,13.306452,1,2,1,0,0,0
19,15.483871,1,2,1,0,0,0
20,16.129032,1,3,2,0,0,0
21,16.774194,1,4,3,0,0,0
22,17.419355,1,5,4,0,0,0
23,18.064516,2,4,5,0,0,0
24,18.709677,2,5,5,0,0,0
25,19.032258,2,2,3,0,0,0
26,20,2,3,3,0,0,0
27,20.645161,1,2,1,0,0,0
28,21.290323,1,3,2,0,0,0
29,21.935484,1,4,3,0,0,0
30,22.580645,1,5,4,0,0,0
31,23.225806,2,4,5,0,0,0
32,23.870968,2,5,5,0,0,0
33,24.193548,2,3,5,0,0,0
34,25.16129,2,5,5,0,0,0
35,25.806452,1,4,5,0,0,0
36,26.451613,1,1,2,0,0,0
37,26.774194,2,3,1,0,0,0
38,27.741935,2,1,1,0,0,0
39,28.387097,1,4,4,0,0,0
40,29.032258,1,2,2,0,0,0
41,30.322581,1,2,2,0,0,0
42,30.967742,2,3,4,0,0,0
43,32.903226,2,4,4,0,0,0
44,33.548387,1,4,4,0,0,0
45,34.193548,1,2,2,0,0,0
46,35.483871,1,2,2,0,0,0
47,36.129032,2,4,5,0,0,0
48,37.419355,2,5,5,0,0,0
49,38.064516,1,3,3,0,0,0
50,38.709677,1,5,5,0,0,0
51,39.354839,1,1,1,0,0,0
52,40.645161,1,1,1,0,0,0
53,41.290323,2,3,4,0,0,0
54,43.225806,2,4,4,0,0,0
55,43.870968,1,5,5,0,0,0
56,44.516129,1,1,1,0,0,0
57,45.806452,1,1,1,0,0,0
58,46.451613,1,4,3,0,0,0
59,47.419355,1,1,1,0,1,0
60,47.419355,1,5,5,0,1,0
61,49.032258,2,4,5,0,0,0
62,51.612903,2,2,1,0,1,0
63,51.612903,2,5,5,0,1,0
64,54.193548,2,1,1,0,1,0
65,54.193548,2,3,4,0,1,0
66,56.774194,2,3,2,0,1,0
67,56.774194,2,4,4,0,1,0
68,59.354839,2,2,2,0,1,0
69,59.354839,1,3,4,0,1,0
70,61.935484,1,3,2,0,1,0
71,61.935484,1,3,4,0,1,0
72,63.225806,1,2,1,0,1,0
73,63.225806,1,4,5,0,1,0
74,64.516129,1,2,1,0,0,0
75,65.16129,1,2,1,0,0,0
76,65.806452,1,3,2,0,0,0
77,66.451613,1,3,2,0,0,0
78,67.096774,1,4,3,0,0,0
79,67.741935,1,4,3,0,0,0
80,68.387097,1,5,4,0,0,0
81,69.032258,1,5,4,0,0,0
82,69.677419,1,5,5,0,0,0
83,70.322581,1,5,5,0,0,0
84,70.967742,1,3,1,0,1,0
85,70.967742,1,3,5,0,1,0
86,71.612903,1,3,1,0,1,0
87,71.612903,1,3,5,0,1,0
88,72.258065,2,2,1,0,1,0
89,72.258065,2,4,5,0,1,0
90,73.548387,2,1,1,0,1,0
91,73.548387,2,5,5,0,1,0
92,74.83871,2,3,1,0,1,0
93,74.83871,2,3,5,0,1,0
94,76.129032,2,1,1,0,1,0
95,76.129032,2,5,5,0,1,0
96,77.419355,2,3,2,0,1,0
97,77.419355,2,3,4,0,1,0
