0.03333,MOT_mc_bg_black_00,b80-60,,
0.03333,MOT_mc_light_center_00,stay,,
0.03333,MOT_mc_light_up_00,stay,,
0.03333,MOT_mc_light_under_00,stay,,
0.03333,MOT_control_all,stay,,
0.03333,MOT_mc_stage_color_00,stay,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,1,sort,-26300,
0.03333,2,sort,-26300,
0.03333,3,sort,-26300,
0.03333,MOT_all,cut_00,,
0.06666,MOT_control_all,cut1,,
0.06666,MOT_all,cut_01,,
1.3332,MOT_all,cut_02,,
1.3332,MOT_control_all,cut1B_1,,
1.6664999999999999,2,sj1,,
2.03313,2,j1-3,,
2.56641,2,sj3,,
2.96637,2,sj3,,
3.3329999999999997,2,sj3,,
3.69963,2,sj3,,
4.06626,2,3-1,,
4.49955,2,w1,,
4.93284,MOT_all,cut_03,,
4.93284,MOT_control_all,cut1B_2,,
4.96617,3,j1-4,,
5.56611,3,sj4,,
5.966069999999999,3,j4-1,,
6.466019999999999,3,sj1,,
6.79932,3,sj1,,
6.83265,MOT_mc_bg_black_00,b60-0,,
7.16595,3,w1,,
7.16595,2,w1,,
7.16595,1,w1,,
7.9325399999999995,MOT_mc_special_01,cut1,,
8.93244,1,j4-2,,
8.93244,2,j1-2,,
8.93244,3,j1-2,,
9.23241,1,j2-4,,
9.23241,2,j2-4,,
9.23241,3,j2-4,,
9.26574,MOT_mc_bg_black_00,b60-0,,
9.599039999999999,1,hj4,,
9.599039999999999,2,hj4,,
9.599039999999999,3,hj4,,
10.26564,1,4-1,,
10.26564,2,4-1,l1,
10.26564,3,4-1,r1,
10.598939999999999,1,sj1,,
10.598939999999999,2,lp1,l2,
10.598939999999999,3,lp1,r2,
10.83225,2,,l3,
10.83225,3,,r3,
11.098889999999999,1,1-4,,
11.098889999999999,2,1-4,lb2,
11.098889999999999,3,1-4,rb2,
11.43219,1,sj4,,
11.43219,2,lp4,l3,
11.43219,3,lp4,r3,
11.69883,2,,l4,
11.69883,3,,r4,
11.96547,1,j4-2,,
11.96547,2,,lb3,
11.96547,3,,rb3,
12.232109999999999,2,,l4,
12.232109999999999,3,,r4,
12.46542,1,w2,,
12.46542,2,,l5,
12.46542,3,,r5,
12.732059999999999,1,2-1,,
12.732059999999999,2,2-1,,
12.732059999999999,3,2-1,,
13.032029999999999,MOT_mc_special_01,cut_logo,,
13.032029999999999,MOT_all,cut_04,,
13.06536,1,hj1,,
13.06536,2,hj1,,
13.06536,3,hj1,,
17.764889999999998,MOT_control_all,cut1B_3,,
17.764889999999998,1,lp2,,f1
17.764889999999998,1,sort,-26300,
17.764889999999998,2,w2,,
17.764889999999998,3,w2,,
19.69803,1,2-1,,
20.09799,1,lp1,,
21.23121,MOT_control_all,cut1B_4,,
21.597839999999998,1,1-3,,
21.997799999999998,1,lp3,,
23.56431,1,3-2,,
23.96427,1,lp2,,
24.13092,1,j2-4,,
24.39756,MOT_all,cut_05,,
24.864179999999998,1,lp4,,
25.96407,MOT_mc_special_01,cut3,,
25.96407,MOT_control_all,cut1B_5,,
26.264039999999998,1,w4,,b0
