time,lyrics,size
0,,
5.39 ,Hey Boys! Rockin' Emotion Hey Yeah! ついてきなよ,
10.83 ,Hey Girls! Rockin' Emotion Hey Yeah! 行くぜ Shake it Now,
18.15 ,Let' Go! Let's Try! Let's Shout! Let's Rock!,
27.07 ,いつもどっかで感じてたNoise,
29.83 ,Volume 上げて 掻き消して,
32.09 ,どってことないフリでかき鳴らすHeart Beat,
37.23 ,ちょっとセツナイ恋みたいだね,
40.05 ,今夜 奇蹟に抱かれ あふれ出す,
43.09 ,高鳴る想いに 飾りはいらない,
48.63 ,本当のアタシをごまかしたくないよ,
53.73 ,ハウリング止まらない 見せてあげるよ 熱くなれ,
61.48 ,刻め ! 今を ! もっと激しく,
67.08 ,最高のボルテージに 胸震わせ,
72.31 ,たったひとつ たったひとつの,
77.946,ダイヤモンドみたいな 輝きを掴む日まで,
85.442,逃げちゃNo No No! 醒めちゃSong Song Song!,
90.135,叫べRockin' Emotion!,
94.021,刻め ! 今を ! もっと激しく,
99.605,最高のボルテージに 胸震わせ,
104.834,たったひとり たったひとりの,
110.493,あなたがいる時間を カラダ中響かせよう,
117.919,ナミダBye Bye Bye! もっとBurn Burn Burn!,
122.702,熱いRockin' Emotion!,
126.165,,
