time,lyrics,size
0.00 ,,
11.904 ,Flip Flop 心が,
15.912 ,Flip Flop,
19.895 ,Flip Flop 心がふわっと天に届く,
23.910 ,みたいなドラマがわたしたちを待っている Woh Yeah!,
35.406 ,キラキラがわたしを包む　まるでそう !  カーニバルみたい,
43.406 ,目に写るもの　ぜんぶ宝物　ファインダーにこぼれそうなの,
51.408 ,走り続けて見えるもの　すべていまを乗り越えてゆく,
59.416 ,待つだけじゃもう　手に入れられない　ドキドキを知っているの ! !,
67.674 ,"""新しい""が目白押し　ちょっとびっくりするけど",
75.411,あなたとわたしがいる,
79.385,このステージが一番素敵 ! !,
85.908,同じようで　同じじゃない時が,
89.911,ぎゅっとわたしたち繋いで離さない,
93.913,Flip Flop 交わした　わたしたちの声と,
97.912,あなたの声が空に舞い上がった,
101.904,Flip Flop 心がふわっと天に届く,
105.920,みたいなドラマがわたしたちをいつでも　そう待っている ! !,
116.664,Woh Yeah! Woh Yeah!,
129.728,,
