time,lyrics,size
0,,
1.532,SAY☆いっぱい輝く,
4.284,輝く星になれ,
7.804,運命のドア 開けよう,
10.249,今 未来だけ見上げて,
17.13,,
29.617,そっと 鏡を覗いたの,
34.997,ちょっと おまじない 自分にエール,
40.389,だって リハーサル ぎこちない私,
44.793,鼓動だけがドキュンドキュン(汗),
47.905,ファンファーレみたいに,
51.155,慣れないこのピンヒール,
53.952,10cm の背伸びを,
55.963,誰か魔法で 変えて下さい,
60.978,ガラスの靴に,
63.699,SAY☆いっぱい輝く,
66.325,輝くSUPER ST@R に,
69.683,小さな一歩だけど キミがいるから,
74.459,星(せい)いっぱい輝く,
77.1,輝く星になれるよ,
80.519,運命のドア 開けよう,
82.979,今 未来だけ見上げて,
89.589,,
96.055,SAY☆いっぱい羽ばたく,
98.593,一人に一コずつ,
102.131,抱えたこの煌めき 信じているから,
106.866,晴(せい)いっぱい羽ばたく,
109.49,遥かな憧れにホラ,
112.874,リアルが近づいてる,
115.37,Let's go あのヒカリ目指して,
122.578,,
