time,lyrics,size
0,,
15.88 ,(1、2、3、ハイ ! イェイ ! I LOVE YOU ! WAO ! ),
27.34 ,,
32.54 ,恋の島みつけられたら キラキラ☆大ハッピー,
37.90 ,思いっきりはしゃいじゃうよ,
40.88 ,せーので ! パパ☆パラダイス,
44.42 ,毎日が輝きだすよ トロ☆トロ☆トロ☆トロピカル,
49.76 ,ねぇもっと 知りたい人 (この指止まれ☆),
56.28 ,ギラギラ太陽に (cha cha cha),
59.38 ,アツアツの砂浜 (cha cha cha),
62.37 ,やけどしちゃうかも？ !  でもどしても止められない,
68.08 ,サンダル脱ぎすてて (cha cha cha),
71.20 ,裸足もいいもんね,
73.443,もうすこし シンデレラパワー 信じていたいから,
81.556,Oh Like a Orange Sapphire☆passion!!!,
85.661,ミラクル呼び込んで,
88.264,あなたに届けたい とびきりの時間を,
94.404,Orange Sapphire☆passion!!!,
97.524,キラキラきらめいて,
100.097,その笑顔を ずっとみていたいMr. boy friend. Oh Oh,
111.188,(I LOVE YOU ! WAO ! ),
116.26,,
