1.46652,MOT_mc_bg_black_00,b80-45,,
1.46652,MOT_control_all,zoom1,,
2.13312,MOT_all,cut1,,
2.13312,1,1-2,,
2.13312,2,1-2,,
2.3997599999999997,1,w2,,
2.3997599999999997,2,w2,,
6.7659899999999995,1,2-3,,
6.7659899999999995,2,2-3,,
7.032629999999999,1,w3,,
7.032629999999999,2,w3,,
10.63227,2,3-1,,
10.86558,1,3-2,,
11.098889999999999,2,1-2,,
11.49885,1,2-4,,
11.49885,2,2-4,,
11.76549,1,lp4,,
11.76549,2,lp4,,
13.931939999999999,2,4-1,,
14.19858,2,w1,,
14.79852,1,4-1,,
15.065159999999999,1,w1,,
15.065159999999999,2,w1,,
16.29837,1,1-3,,
16.29837,2,1-3,,
16.56501,1,lp3,,
16.56501,2,lp3,,
18.73146,2,3-4,,
18.9981,2,w4,,
19.798019999999998,1,3-4,,
20.06466,1,w4,,
20.13132,MOT_control_all,zoom2,,
21.09789,2,4-2,,
21.09789,1,4-2,,f1
21.46452,2,w2,,
21.46452,1,lp2,l1,
23.16435,1,2-1,l2,
23.430989999999998,1,lp1,,
25.9974,1,1-4,lb1,
26.264039999999998,1,lp4,,
27.79722,1,4-2,lb0,
28.06386,1,lp2,,
29.730359999999997,MOT_control_all,zoom3,,
30.69693,2,2-1,,f1
30.69693,1,2-1,,b0
31.06356,2,lp1,r1,
31.06356,1,w1,,
32.83005,2,,r2,
33.82995,2,1-4,rb1,
34.09659,2,lp4,,
35.3298,2,,rb0,
37.36293,2,4-3,,
37.62957,2,lp3,,
39.49605,2,3-2,,
39.86268,MOT_control_all,zoom4,,
39.86268,MOT_mc_bg_black_00,b45-20,,
40.06266,2,2-1,,
40.329299999999996,2,w1,,
40.92924,2,1-4,,b0
40.92924,1,1-4,,f1
41.195879999999995,2,w4,,
41.195879999999995,1,lp4,,
42.429089999999995,2,,l1,
42.429089999999995,1,,r1,
43.49565,2,,l2,
43.49565,1,,r2,
44.56221,1,4-2,rwb0,
44.92884,2,4-2,lwb0,
45.195479999999996,2,w2,,
45.195479999999996,1,lp2,,
47.59524,2,2-3,,f1
47.59524,1,,,b0
47.86188,1,2-3,,
48.128519999999995,2,lp3,,
48.128519999999995,1,w3,,
48.76179,2,3-1,,
49.02843,1,3-1,,
49.295069999999996,2,lp1,,
49.295069999999996,1,w1,,
50.59494,1,1-4,,
50.59494,2,1-4,,
50.86158,2,lp4,,
50.86158,1,w4,,
54.227909999999994,1,4-3,,
54.227909999999994,2,4-3,,
54.49455,1,w3,,
54.49455,2,w3,,
54.69453,MOT_all,cut2,,
55.22781,MOT_mc_bg_black_00,b20-45,,
55.427789999999995,2,3-2,,b0
55.427789999999995,1,3-2,,f1
55.69443,2,w2,,
55.69443,1,lp2,,
56.627669999999995,1,,l1,
57.59424,1,,l2,
58.79412,1,2-1,lb1,
59.060759999999995,1,lp1,,
59.894009999999994,1,,lb0,
60.86058,1,1-3,,
61.127219999999994,1,lp3,,
62.86038,1,3-1,,
63.127019999999995,1,lp1,,
64.79352,2,2-4,,f1
64.79352,1,1-4,,b0
65.06016,2,lp4,,
65.06016,1,w4,,
66.12671999999999,2,,r1,
67.02663,2,,r2,
68.49315,2,4-3,rb1,
68.49315,1,4-2,,
68.75979,2,lp3,,
68.75979,1,w2,,
69.42639,2,,rb0,
69.85968,2,3-1,,
70.12631999999999,2,lp1,,
72.39276,MOT_all,cut3,,
72.79272,2,j1-2,,
73.15935,2,lp2,,
74.39256,MOT_control_all,zoom5,,
74.39256,MOT_mc_bg_black_00,b45-0,,
74.39256,2,2-3,,b0
74.39256,1,2-3,,f1
74.6592,2,w3,,
74.6592,1,lp3,,
75.82575,2,3-1,,
75.82575,1,3-1,r1,
76.09239,2,w1,,
76.09239,1,lp1,,
76.79231999999999,1,,r2,
77.05896,2,w1,,
77.05896,1,lp1,,
77.6589,1,1-2,,
77.6589,2,1-2,,
77.92554,2,w2,,
77.92554,1,lp2,,
78.45882,1,,rb1,
79.25874,1,,rb0,
79.99199999999999,1,2-1,,
79.99199999999999,2,2-1,,
80.25864,2,w1,,
80.25864,1,lp1,,
82.05846,1,1-4,,
82.42509,2,1-2,,
82.79172,1,4-2,,
