time,lyrics,size
0.00 ,,
4.42 ,チャイムが鳴ったら　急いで集合 !,
7.40 ,宿題なんかは　している暇ない,
10.40 ,制服　脱ぎ捨て　華麗に　変身 !,
13.43 ,その名も　怪盗セクシーギルティ,
16.41 ,狙った獲物は　逃がさない,
17.70 ,そう　神出鬼没の大泥棒　Ah,
19.42 ,世界中　みんな　血まなこ,
22.41 ,マイクを片手に　今日も飛び回る,
25.61 ,誰一人　止められない,
28.43 ,ピカピカのダイアモンド,
31.03 ,そんなものは　興味がないの,
34.46 ,欲しいものは　ひとつだけ,
37.05 ,あなたの　その心　Oh Yeah!,
41.95 ,笑顔と歌声で　世界を照らし出せ,
47.53 ,行くぜっ!!　Let's Go!!!,
50.931,あなたのそのハート　いただきますっっっ!!!,
53.932,Yes! Yes! We're the セクシーギルティ,
56.734,カタギリサナエ　オイカワシズク　ホリユウコ,
59.938,無限に広がる　星空よりも,
65.941,キラキラ輝く　みんなの瞳,
71.924,何より　いとしい　宝物だから,
77.895,いつも　全力で,
80.454,歌おう !　踊ろう !　笑おう!!!,
85.436,笑顔と歌声で　世界を照らし出せ,
91.036,行くぜっ!!　Let's Go!!!,
94.23,ももいろのハートを　狙い撃ち☆,
97.396,土日は　よろしくね !,
100.423,週末ヒロインですっ,
103.028,いっちょ　ソバット,
106.244,あなたのそのハート　いただきますっっっ!!!,
109.414,Yes! Yes! We're the セクシーギルティ,
112.196,カタギリサナエ　オイカワシズク　ホリユウコ,
115.422,Go! Now!　君のハート　めがけて　Sing a Song!,
120.754,,
