0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,4,w1,,
0.03333,5,w1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
2.03313,1,1-2,,
2.03313,2,1-2,,
2.03313,3,1-2,,
2.03313,4,1-2,,
2.03313,5,1-2,,
2.09979,MOT_mc_light_up_00,l4,,
2.09979,MOT_mc_stage_color_00,y,,
2.09979,MOT_mc_speaker_00,temp1,,
2.09979,MOT_mc_light_center_00,l1,,
2.09979,MOT_mc_light_under_00,l1,,
2.76639,1,2-3,,b-1
2.76639,2,,,
2.76639,4,,,f1
2.76639,3,,,
2.76639,5,,,f1
3.2330099999999997,2,2-3,l1,
3.2330099999999997,3,2-3,r1,
3.36633,5,2-3,r1,
3.36633,4,2-3,l1,
3.93294,1,3-4,,
3.93294,2,3-4,,
3.93294,3,3-4,,
3.93294,4,3-4,,
3.93294,5,3-4,,
4.39956,5,4-1,rb0,
4.39956,4,4-1,lb0,
4.53288,2,4-1,lb0,
4.53288,3,4-1,rb0,
4.63287,1,4-1,,
5.63277,1,1-2,,
5.63277,2,1-2,,
5.63277,3,1-2,,
5.63277,4,1-2,,
5.63277,5,1-2,,
6.03273,1,w2,l1,
6.03273,2,w2,l1,
6.03273,3,w2,l1,
6.03273,4,w2,l1,
6.03273,5,w2,l1,
7.032629999999999,1,,lb0,
7.032629999999999,2,,lb0,
7.032629999999999,3,,lb0,
7.032629999999999,4,,lb0,
7.032629999999999,5,,lb0,
7.732559999999999,1,2-3,,
7.732559999999999,2,2-3,,
7.732559999999999,3,2-3,,
7.732559999999999,4,2-3,,
7.732559999999999,5,2-3,,
8.09919,1,w3,r1,
8.09919,2,w3,r1,
8.09919,3,w3,r1,
8.09919,4,w3,r1,
8.09919,5,w3,r1,
9.06576,1,,rb0,
9.06576,2,,rb0,
9.06576,3,,rb0,
9.06576,4,,rb0,
9.06576,5,,rb0,
9.43239,4,sp3-4,,
9.599039999999999,2,sp3-4,,
9.76569,1,sp3-4,,
9.899009999999999,3,sp3-4,,
9.998999999999999,5,sp3-4,,
10.398959999999999,1,4-1,,
