time,lyrics,size
0.00,,
6.083,バスを降りて走った,
11.517,時間まだ早いのに,
15.75,だってワクワク　初のデートさ,
20.95,右手振った君にクギ付け,
25.917,アクアリウムでイルカが跳ぶ,
32.367,見るフリ　だけど意識は君だけに,
39.817,はじまれ　ヒカリの夏,
42.533,はじまれ　フタリの夏,
45.233,最高最上　自分史上,
50.65,はじめて　ちゃんと言おう,
53.183,はじめて　瞳を見て,
55.95,前から　ホントは好きだったと,
62.283,僕とつき合ってと汗かいたら,
67.4,君がうなずいてた,
70.833,熱い風の中,
74.55,,
85.983,はじまれ　ヒカリの夏,
88.5,はじまれ　フタリの夏,
91.6,最高最上　自分史上,
96.583,はじめて　ちゃんと言おう,
99.483,はじめて　瞳を見て,
102.133,前から　誰より大好きだと,
107.667,はじまれ　はじまり　僕らの夏,
113.767,空と海の色も輝いてる,
119.183,君と歩き出した,
122.417,碧い風の中,
126.85,,
