time,lyrics,size
0.00 ,,
26.717 ,I　My　Meが曖昧じゃ　もうおかしくなっちゃう　WA !,
29.867 ,言うよねYouは余裕で言う「どうでもいいじゃん」そりゃないよ,
33.167 ,だってここいらじゃ　それが常識よ,
36.383 ,ずっと知らんぷり　ごきげんいかが？,
42.283 ,とんちんかんにとぼけては　記憶にございましぇ～ん,
45.650 ,エイエイオー ! って英雄も　ルールが変わってピーンチ,
49.017 ,なんでそこら中　イタイ話ばっか,
52.167 ,待って止まらない　みんな行ったり来たり,
55.917 ,もう本当は誰も　気付いているんだろう,
61.600 ,"だからさぁ始めようか　僕らだけのフェスティバル\n（繋ぐよ　おいでよ　ご一緒に　わっしょい ! ）",
71.717 ,振れ ! 振れ ! 君もShake Hip踊りだす,
74.833 ,ご一緒に　僕と夢の世界へ,
78.017 ,弾けるリズムが重なって　とびきり笑顔が蘇る（Smile）,
81.450 ,「いく？」「いくよ」ならばどこまでも,
84.250 ,あれ　これ　考えすぎないで,
87.450 ,一瞬で　魔法はかけられる,
90.650 ,流れるメロディー聴こえたら　なんにも気にせず身を任せ（Jump）,
94.100 ,「とぶ？」「とぶよ」空に舞い上がれば　LOVE & PEACH,
99.300 ,ぷり　ぷり　ぷり　ぷり　ピーチ,
104.55 ,,
