0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_stage_color_00,b,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,4,w1,,
0.03333,5,w1,,
0.03333,3,,,b-1
0.03333,4,,,b-1
0.03333,5,,,b-1
0.06666,MOT_all,cut1,,
3.2330099999999997,1,lp1,,
3.2330099999999997,2,lp1,,
3.2330099999999997,3,lp1,,
3.2330099999999997,4,lp1,,
3.2330099999999997,5,lp1,,
3.4663199999999996,MOT_speaker_00,temp1,,
3.4663199999999996,MOT_mc_bg_black_00,b80-65,,
5.23281,MOT_mc_light_up_00,l1,,
5.23281,MOT_mc_light_center_00,l1,,
5.23281,MOT_mc_stage_color_00,b-y,,
5.63277,2,1-2,,
5.86608,1,1-2,,
5.966069999999999,2,w2,,
6.09939,3,1-2,,
6.19938,1,w2,,
6.3327,4,1-2,,
6.3327,2,w2,,
6.3327,3,w2,,
6.5660099999999995,5,1-2,,
6.5660099999999995,4,w2,,
6.83265,1,lp2,,
6.83265,2,lp2,,
6.83265,3,lp2,,
6.83265,4,lp2,,
6.83265,5,lp2,,
8.3325,1,2-3,,
8.3325,2,2-3,,
8.3325,3,2-3,,
8.3325,4,2-3,,
8.3325,5,2-3,,
8.63247,1,lp3,,
8.63247,2,lp3,,
8.63247,3,lp3,,
8.63247,4,lp3,,
8.63247,5,lp3,,
10.198979999999999,1,sp2-3,,
10.198979999999999,2,sp2-3,,
10.36563,3,sp2-3,,
10.36563,4,sp2-3,,
10.36563,5,sp2-3,,
11.9988,1,sj3,,
11.9988,2,sj3,,
12.29877,3,sj3,,
12.29877,4,sj3,,
12.29877,5,sj3,,
12.29877,1,w3,,
12.29877,2,w3,,
12.59874,1,lp3,,
12.59874,2,lp3,,
12.59874,3,lp3,,
12.59874,4,lp3,,
12.59874,5,lp3,,
13.631969999999999,3,3-4,,
13.79862,1,3-4,,
13.79862,2,3-4,,
14.09859,1,w4,,
14.09859,2,w4,,
14.09859,3,w4,,
14.29857,4,3-4,,
14.29857,5,3-4,,
14.565209999999999,1,lp4,,
14.565209999999999,2,lp4,,
14.565209999999999,3,lp4,,
14.565209999999999,4,lp4,,
14.565209999999999,5,lp4,,
15.365129999999999,1,4-1,,
15.565109999999999,2,4-1,,
15.765089999999999,3,4-1,,
15.965069999999999,4,4-1,,
16.16505,5,4-1,,
16.43169,1,lp1,,
16.43169,2,lp1,,
16.43169,3,lp1,,
16.43169,4,lp1,,
16.43169,5,lp1,,
17.131619999999998,1,1-2,l1,
17.131619999999998,2,1-2,l1,
17.43159,1,w2,,
17.43159,2,w2,,
18.06486,3,1-2,l1,
18.06486,4,1-2,l1,
18.06486,5,1-2,l1,
18.39816,3,w2,,
18.39816,4,w2,,
18.39816,5,w2,,
18.89811,1,2-3,lb0,
18.89811,2,2-3,lb0,
19.23141,1,w3,,
19.23141,2,w3,,
19.69803,3,2-3,lb0,
19.69803,4,2-3,lb0,
19.69803,5,2-3,lb0,
20.03133,1,lp3,,
20.03133,2,lp3,,
20.03133,3,lp3,,
20.03133,4,lp3,,
20.03133,5,lp3,,
21.53118,5,,r1,
21.96447,1,,r1,
22.3311,3,,r1,
22.631069999999998,2,,r1,
22.89771,4,,r1,
23.96427,4,,rb0,
23.96427,1,sp2-3,,
23.96427,2,sp2-3,,
23.96427,3,sp2-3,,
23.96427,4,sp2-3,,
23.96427,5,sp2-3,,
24.29757,2,,rb0,
24.59754,3,,rb0,
24.864179999999998,1,,rb0,
25.09749,5,,rb0,
25.53078,1,sj3,,
25.53078,2,sj3,,
25.53078,3,sj3,,
25.53078,4,sj3,,
25.53078,5,sj3,,
25.79742,4,3-4,,
25.897409999999997,2,3-4,,
25.9974,3,3-4,,
26.097389999999997,1,3-4,,
26.19738,5,3-4,,
26.53068,1,lp4,,
26.53068,2,lp4,,
26.53068,3,lp4,,
26.53068,4,lp4,,
26.53068,5,lp4,,
27.83055,1,4-2,r1,
27.83055,5,4-2,r1,
28.16385,3,4-2,r1,
28.497149999999998,2,4-2,r1,
28.497149999999998,4,4-2,r1,
28.497149999999998,1,w2,,
28.497149999999998,5,w2,,
28.79712,1,lp2,,
28.79712,2,lp2,,
28.79712,3,lp2,,
28.79712,4,lp2,,
28.79712,5,lp2,,
29.697029999999998,1,2-1,,
29.697029999999998,2,2-1,,
29.697029999999998,3,2-1,,
29.697029999999998,4,2-1,,
29.697029999999998,5,2-1,,
30.03033,1,1-4,,
30.03033,2,1-4,,
30.03033,3,1-4,,
30.03033,4,1-4,,
30.03033,5,1-4,,
30.39696,1,lp4,,
30.39696,2,lp4,,
30.39696,3,lp4,,
30.39696,4,lp4,,
30.39696,5,lp4,,
31.6635,2,4-3,rb0,
31.6635,4,4-3,rb0,
31.9968,3,4-3,rb0,
32.3301,1,4-3,rb0,
32.3301,5,4-3,rb0,
32.3301,2,w3,,
32.3301,4,w3,,
32.696729999999995,1,lp3,,
32.696729999999995,2,lp3,,
32.696729999999995,3,lp3,,
32.696729999999995,4,lp3,,
32.696729999999995,5,lp3,,
33.496649999999995,4,j3-1,,
33.496649999999995,5,j3-1,,
33.69663,MOT_mc_stage_color_00,y-r,,
33.82995,1,j3-1,,
33.82995,2,j3-1,,
34.16325,3,j3-1,,
34.16325,4,w1,,
34.16325,5,w1,,
34.46322,1,w1,,
34.46322,2,w1,,
34.729859999999995,2,1-3,,f1
34.729859999999995,3,w1,,
34.82985,MOT_mc_light_up_00,l2,,
34.82985,MOT_mc_light_under_00,l2,,
35.19648,2,lp3,,
36.22971,2,1-2,r1,
36.56301,2,2-4,r2,
36.89631,2,lp4,,
38.09619,2,j4-2,,
38.729459999999996,2,lp2,,
39.22941,2,2-3,,
39.49605,2,lp3,,
39.995999999999995,2,sp2-3,,
40.59594,2,sj3,,
41.195879999999995,1,1-4,,
41.195879999999995,3,1-4,,
41.195879999999995,4,1-4,,
41.195879999999995,5,1-4,,
41.195879999999995,2,3-4,,
41.229209999999995,MOT_mc_stage_color_00,r-b,,
41.46252,2,lp4,,
41.46252,1,w4,,
41.46252,3,w4,,
41.46252,4,w4,,
41.46252,5,w4,,
42.762389999999996,2,4-2,rb1,
43.162349999999996,2,lp2,,
44.22891,2,2-1,rb0,
44.6622,2,lp1,,
46.062059999999995,2,1-2,l1,
46.462019999999995,2,lp2,,
47.19528,2,2-3,l2,
47.42859,MOT_mc_stage_color_00,b-y,,
47.42859,1,4-2,,
47.42859,3,4-2,,
47.42859,4,4-2,,
47.42859,5,4-2,,
47.661899999999996,2,3-4,l3,
47.82855,1,w2,,
47.82855,3,w2,,
47.82855,4,w2,,
47.82855,5,w2,,
48.095189999999995,2,lp4,,
49.261739999999996,2,4-1,l3,
49.695029999999996,2,lp1,,
51.19488,2,1-3,lb2,
51.26154,4,2-3,,
51.361529999999995,3,2-3,,
51.46152,1,2-3,,
51.52818,2,lp3,,
51.56151,5,2-3,,
51.86148,1,w3,,
51.86148,3,w3,,
51.86148,4,w3,,
51.86148,5,w3,,
52.3281,2,3-2,lb1,
52.69473,2,lp2,,
53.06136,2,2-4,,
53.56131,2,lp4,,
53.794619999999995,2,,lb0,
54.3279,2,4-3,,
54.6612,2,lp3,,
