2.46642,MOT_mc_bg_black_00,seat100-0,,
2.5997399999999997,MOT_mc_bg_black_00,b80-65,,
4.0329299999999995,MOT_mc_light_up_00,l1,,
4.0329299999999995,MOT_mc_light_center_00,l1,,
4.0329299999999995,MOT_mc_light_under_00,l3,,
4.0329299999999995,MOT_mc_speaker_00,temp1,,
4.09959,1,1-3,l1,
4.09959,2,1-3,l1,
4.09959,3,1-3,l1,
4.09959,4,1-3,l1,
4.09959,5,1-3,l1,
4.73286,1,,lb0,
4.73286,2,,lb0,
4.73286,3,,lb0,
4.73286,4,,lb0,
4.73286,5,,lb0,
5.3994599999999995,1,,r1,
5.3994599999999995,2,,r1,
5.3994599999999995,3,,r1,
5.3994599999999995,4,,r1,
5.3994599999999995,5,,r1,
6.066059999999999,1,,rb0,
6.066059999999999,2,,rb0,
6.066059999999999,3,,rb0,
6.066059999999999,4,,rb0,
6.066059999999999,5,,rb0,
6.73266,1,3-2,l1,
6.73266,2,3-2,l1,
6.73266,3,3-2,l1,
6.73266,4,3-2,l1,
6.73266,5,3-2,l1,
7.432589999999999,1,,lb0,
7.432589999999999,2,,lb0,
7.432589999999999,3,,lb0,
7.432589999999999,4,,lb0,
7.432589999999999,5,,lb0,
8.165849999999999,1,,r1,
8.165849999999999,2,,r1,
8.165849999999999,3,,r1,
8.165849999999999,4,,r1,
8.165849999999999,5,,r1,
8.79912,1,,rb0,
8.79912,2,,rb0,
8.79912,3,,rb0,
8.79912,4,,rb0,
8.79912,5,,rb0,
9.49905,1,2-4,l1,
9.49905,2,2-4,l1,
9.49905,3,2-4,l1,
9.49905,4,2-4,l1,
9.49905,5,2-4,l1,
10.098989999999999,1,,lb0,
10.098989999999999,2,,lb0,
10.098989999999999,3,,lb0,
10.098989999999999,4,,lb0,
10.098989999999999,5,,lb0,
10.798919999999999,1,,r1,
10.798919999999999,2,,r1,
10.798919999999999,3,,r1,
10.798919999999999,4,,r1,
10.798919999999999,5,,r1,
11.43219,1,,rb0,
11.43219,2,,rb0,
11.43219,3,,rb0,
11.43219,4,,rb0,
11.43219,5,,rb0,
12.132119999999999,1,4-3,l1,
12.132119999999999,2,4-3,l1,
12.132119999999999,3,4-3,l1,
12.132119999999999,4,4-3,l1,
12.132119999999999,5,4-3,l1,
12.76539,1,,lb0,
12.76539,2,,lb0,
12.76539,3,,lb0,
12.76539,4,,lb0,
12.76539,5,,lb0,
13.09869,2,sp2-3,,
13.09869,3,sp2-3,,
13.09869,4,sp2-3,,
13.09869,5,sp2-3,,
13.331999999999999,MOT_mc_light_up_00,l4,,
13.331999999999999,MOT_mc_light_center_00,l3,,
13.331999999999999,MOT_mc_light_under_00,l1,,
14.13192,1,hj3,,
14.13192,4,sj2,,
14.13192,2,sj2,,
14.13192,3,sj2,,
14.13192,5,sj2,,
14.13192,MOT_mc_bg_black_00,b65-45,,
14.365229999999999,MOT_mc_stage_color_00,b-flash,,
14.365229999999999,MOT_mc_light_up_00,l2,,
14.365229999999999,MOT_mc_light_center_00,l2,,
14.365229999999999,MOT_mc_light_under_00,l2,,
14.365229999999999,MOT_mc_speaker_00,temp2,,
14.63187,1,lp3,,
14.63187,4,lp2,,
14.63187,2,lp2,,
14.63187,3,lp2,,
14.63187,5,lp2,,
