time,lyrics,size
0,,
19.12 ,輝く世界の魔法,
21.94 ,私を好きにな～れ☆,
24.71 ,ほら笑顔になりたい人,
27.28 ,いっせーの ! ! 唱えてみよう ! ! ,
33.44 ,おはよう♪,
34.53 ,眩しく光ってく太陽,
38.97 ,新しい一日幕を開けてみよう,
44.61 ,今日は何するか考えて悩んだら,
49.64 ,やりたい事をやりたいだけやっちゃおう☆,
55.21 ,ねえ夢を叶えるって大変だけど,
60.51 ,止めるのってなんか嫌じゃん,
63.43 ,一歩進みだそうって時には ! ! ,
69.366,輝く世界の魔法,
72.11,私を好きにな～れ☆,
74.927,キミがいれば♪傍にいれば♪,
77.71,心がキラめいてく,
80.544,輝く世界の魔法,
83.294,私を好きにな～れ☆,
86.07,ほら笑顔になりたい人,
88.47,いっせーの ! ! 唱えてみよう ! ! ,
94.527,輝く世界の魔法,
97.247,私を好きにな～る♪,
100.031,さあみんなで行くのっていいでしょ,
102.927,一緒に ! ! 唱えてみちゃおう ! ! ,
108.046,,
