time,lyrics,size
0,,
4.4,Ladies & Gentlemen,
7.97,Welcome to the サマーカーニバル!!,
13.13,,
16.15,（party!! party!! Oh Yeah!! Here we go!!）,
25.87,真夏の決意表明,
29.539,いつものキミの笑顔Countdown です,
33.37,ちょちょちょ待って,
34.4,心の準備とかあるんだって,
37.07,先手必勝（Just Now!!）,
39.02,隣のあの子誰？誰？（Who are you?）,
41.57,うかうかしていられない!!,
43.92,今日は（絶対）キミに（キミに）,
46.42,トロピカルに伝えるの,
50.78,覚悟して!! my darling!!（Fu～!!）,
56.73,夏だ!! マジ恋だ!! アンビシャス（Fu Fu～!!）,
59.25,叫んじゃお!!（Hey!!）,
62.2,縮めてdistance そう!! Shall we dance？,
64.87,今すぐに（サマカニ!! Woo Yes!!）,
67.3,まずはタイミングはドンピシャっす（Fu Fu～!!）,
69.92,手を叩こう!!（All right!!）,
73.73,慌ててfall down 目の前 it's you,
76.38,離れたくない Yes!! Summer Time!!,
79.08,,
88.57,（Fu～!!）,
89.33,夏だ!! マジ恋だ!! アンビシャス,
91.97,叫んじゃお!!（Hey!!）,
94.57,縮めてdistance そう!! Shall we dance？,
97.17,今すぐに（サマカニ!! Woo Yes!!）,
99.65,まずはタイミングはドンピシャっす（Fu Fu～!!）,
102.35,手を叩こう!!（もっかい!! All right!!）,
108.97,慌ててfall down 目の前 it's you,
111.4,離れたくないから…,
113.98,キミに魔法かけちゃうからね,
117.25,Love you,
120.78,,
