time,lyrics,size
0,,
4.82 ,ましゅまろほっぺ 指先で ぷにぷに,
9.98 ,たのしそうに あなたが はじいて 笑う (ぷにぷに),
15.14 ,ましゅまろほっぺ 私 あなたの楽器,
19.98 ,秘密の五線紙の 暗号,
24.81 ,「大好き。chu ! 」 わかるかな？,
28.30 ,,
39.63 ,あなたの「大好き」の中に 私も入れて。,
45.81 ,もういちど「かわいい」って言ってみて。,
49.97 ,あなたが なでてくれた,
53.53 ,髪の毛も 眉も くちびるも,
57.54 ,その瞬間から たからもの,
63.26 ,,
65.21 ,甘いお菓子が 欲しいな どこどこ？,
70.58,ぱふぱふぱふ ころんころん,
73.172,ましゅまろ ころがる はぷにんぐ (タイヘン ! ),
77.1,ましゅまろほっぺ 指先で ぷにぷに,
82.204,たのしそうに あなたが はじいて 笑う (ぷにぷに),
87.404,ましゅまろほっぺ 私 あなたの楽器,
92.324,秘密の五線紙の 暗号,
97.084,「大好き。chu ! 」 わかるかな？,
99.676,「大好き。chu ! 」 気付いてね,
102.235,「大好き ! 」 (キャ ! 言っちゃった☆),
105.821,,
117.997,「chu ! 」,
119.3,,
