time,lyrics,size
0,,
5.15,ファンファンファン ファンFANのFUN,
10.533,Fight! Fight! Fight! Fight! Fight! Fight! ウー レッツゴー !,
15.683,ファンファンファン ファンFANのFUN,
21.3,Fight! Fight! Fight! Fight! Fight! Fight! ウー オーエス !,
26.867,「それでは元気よく行ってみよう ! 」,
30.133,,
32.033,ヘイ、エブリバディ この青春に,
34.7,テンション上げて飛び込め Say Wow,
38.867,恥ずかしがらずにほら,
42.45,逃げ出したって寝ていたって,
45.283,一度きりの人生だ Say Wow,
49.533,何だってできる,
52.533,走り出してつまづいて傷ついたって,
58.05,誇らしく歌えば,
61.017,明日はきっと もっと光ってる,
65.6,,
66.4,情熱でファンファンファーレ（ファンファン ! ）,
68.967,前向きでガンガンバーレ ! （ガンガン ! ）,
71.7,今しかできない大切な日々を Yeah ! !,
77.05,恋してファンファンファーレ（ファンファン ! ）,
79.733,夢見てガンガンバーレ ! （ガンガン ! ）,
82.15,ほら泣いたってきっといつか,
84.967,宝物になるよ Singing!!,
87.85,ファンファンファン ファンFANのFUN,
93.267,何回間違い迷っても SAY !,
95.767,WOW WOW YEY YEAH,
98.367,ファンファンファン ファンFANのFUN,
103.817,大げさに全部欲張って SAY !,
106.533,WOW WOW YEY YEAH,
109.083,ファンファンファン ファンFANのFUN,
114.3,,
