time,lyrics,size
0,,
1.53 ,流れ星を探そうよ,
5.13 ,夜が明ける前に,
7.99 ,この物語は一つ星たちの,
12.14 ,出会いのキセキ,
17.20 ,,
19.28 ,何になりたいの？とか,
22.03 ,何ができるんだ？なんて,
24.61 ,わからないよ,
27.33 ,だけどキラキラしたい ! ,
30.31 ,テンパってたら叱って,
32.87 ,泣いてたらそばにいて,
35.81 ,サンキュ ! サンキュ ! ,
38.37,友達,
41.319,雨降りの後,
44.066,水たまり飛び越えて,
46.706,走ろう,
48.729,１、２、３（ワンツースリー）でＧＯ ! ,
52.378,流れ星を探そうよ,
56.174,転んだら 手をとって,
59.05,二つ星つなぐ,
61.698,魔法のキズナ,
63.572,流れ星を見つけたら,
67.21,何を祈ろう？,
69.05,今は思いつかないよ,
72.514,だけど みんなで笑っていたいよ,
78.617,,
81.501,流れ星を探そうよ,
85.133,二つの手を握って,
87.981,同じ空を見て,
90.67,もう迷わない ! ,
92.546,流れ星を見つけたら,
96.173,きっと祈ろう,
98.037,キラキラしてる未来を,
101.472,そして みんなで笑っていようよ,
107.611,,
110.165,みんなそろって,
111.403,流星になって,
112.803,いつまでもずっと,
117.035,笑ってく,
117.955,キセキ,
119.951,,
