time,lyrics,size
0,,
1.6,シャラララ　シャラララ,
4.167,まだかな Precious Darling !,
10.217,,
20.683,澄んだ空気を　胸に詰め込んだら,
28.1,ソワソワしたの,
31.5,ちょっぴりおセンチ気取っても,
35.9,おなかすくし　街へ出よう,
41.442,,
43.283,赤い鼻先　マフラーにうずめ,
48.733,待ち合わせに急げ,
53.5,会いたい ! 会いたい !,
56.083,わたしの Precious !,
59.167,聖なる夜にハピネスを,
63.867,家族と？　恋人？,
66.417,みんなはどう過ごす Happy Holidays,
71.417,（じつはわたし）,
72.483,ケーキ食べ放題　……友達と,
77.883,,
84.783,光る街路樹　すれ違う人,
90.4,すべてドラマチック,
95.0,キラめく　世界が,
97.75,わたしの Precious !,
100.75,天使の歌とベル　響く,
105.433,シャラララ　シャラララ,
107.983,一緒に過ごそうよ Precious Time,
113.083,（そうよこれは）,
113.883,神様からの　プレゼント,
119.3,,
