time,lyrics,size
0,,
2.75 ,燃やせ友情 ! パッションはミツボシ☆☆★,
7.50 ,,
18.82 ,なやみゴト尽きない時代だ,
24.07 ,そばにいてくれる友達に感謝,
29.79 ,「どんな時も仲間がいるから」,
35.05 ,なんて照れちゃう事,
37.19 ,真顔で言えちゃう,
41.11 ,夢に夢見た 大フライト,
45.88 ,手をつないだら,
47.72 ,大気圏突入も 怖くない,
51.76 ,ミツボシ☆☆★→パッて弾けて,
54.65 ,飛び乗って 流星,
57.55,君と夢と愛を,
59.662,目指し行くよ 今すぐ,
62.903,ミツボシ☆☆★＝そろって光って,
65.658,まぶしい ! って YOU SAY ?,
68.546,前を向いて ノンストップ＆ダッシュ,
72.144,走れミツボシ☆☆★,
75.424,,
90.178,ミツボシ☆☆★,
91.561,やっと出会えた 鳴り響く歓声,
95.961,夜空中の流れ星に,
98.523,夢を宣誓,
101.25,ミツボシ☆☆★＝願って頑張って,
104.066,叶えちゃえ ! って CAN SAY !,
106.938,上を目指し チャージ＆ハイジャンプ,
110.549,翔けるミツボシ☆☆★,
112.602,届け純情 ! キュートでクールな世代,
117.916,燃やせ友情 ! パッションはミツボシ☆☆★,
122.722,,
