0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,4,w1,,
0.03333,5,w1,,
0.03333,3,,,b-1
0.03333,4,,,b-1
0.03333,5,,,b-1
2.76639,1,lp1,,
2.76639,2,lp1,,
2.76639,3,lp1,,
2.76639,4,lp1,,
2.76639,5,lp1,,
2.86638,MOT_mc_stage_color_00,r,,
2.86638,MOT_mc_special_03,temp4,,
12.69873,4,1-2,,
12.89871,2,1-2,,
13.19868,3,1-2,,
13.59864,1,1-2,,
13.9986,5,1-2,,
14.39856,1,w2,,
14.39856,2,w2,,
14.39856,3,w2,,
14.39856,4,w2,,
14.39856,5,w2,,
15.63177,2,2-3,,f1
16.06506,MOT_mc_stage_color_00,r-b,,
16.06506,MOT_mc_light_under_00,l3,,
16.06506,2,sj3,,
16.43169,2,lp3,,
16.89831,MOT_mc_bg_black_00,b80-65,,
16.89831,MOT_mc_light_center_00,l2,,
23.53098,2,3-4,,
24.030929999999998,2,lp4,,
28.097189999999998,2,4-1,,
28.530479999999997,2,lp1,,
32.83005,2,1-3,,
33.26334,2,lp3,,
38.22951,2,3-2,,b0
38.22951,1,2-3,,f1
38.6628,3,w2,,
38.6628,2,w2,,
38.6628,1,sj3,,
38.6628,4,w2,,
38.6628,5,w2,,
39.02943,1,lp3,,
46.462019999999995,1,3-4,,
46.92864,1,lp4,,
50.928239999999995,1,4-1,,
51.394859999999994,1,lp1,,
55.52778,1,1-2,,
55.96107,1,lp2,,
62.09379,1,2-1,,
62.09379,2,2-1,,f1
62.09379,3,2-1,,
62.09379,4,2-1,,
62.09379,5,2-1,,
62.52708,2,sj1,,
62.52708,1,sj1,,
62.52708,3,w1,,
62.52708,4,w1,,
62.52708,5,w1,,
62.92704,2,lp1,,
62.92704,1,lp1,,
65.16015,2,1-2,,
65.16015,1,1-2,,b0
65.49345,1,w2,,
65.49345,3,w1,,
65.49345,4,w1,,
65.49345,5,w1,,
65.6601,2,lp2,,
68.05986,2,2-4,,
68.05986,1,2-4,,f1
68.59313999999999,2,j4-3,,
68.59313999999999,1,j4-3,,
69.25974,2,j3-1,,
69.25974,1,j3-1,,
69.72636,2,lp1,,
69.72636,1,lp1,,
70.45962,2,w4,,b0
70.45962,1,1-4,,
70.92623999999999,1,sj4,,
71.3262,1,lp4,,
73.15935,1,j4-2,,
73.15935,2,4-2,,f1
73.15935,3,4-2,,
73.15935,4,4-2,,
73.15935,5,4-2,,
73.59264,1,hj2,,
73.59264,2,hj2,,
73.85928,3,sj2,,
73.85928,4,sj2,,
73.85928,5,sj2,,
