time,lyrics,size
0,,
11.09 ,いたずら目して Thank you,
14.36 ,鈴が響いて Bye-bye,
17.55 ,街灯に照らされ また明日,
22.68 ,…な～んて甘い,
24.13 ,子猫じゃないのよ にゃお ! ,
27.53 ,,
33.75 ,触れてよ ね～え,
36.97 ,やさしく ね～え,
40.25 ,指絡めて 背伸びをして,
43.52 ,瞳閉じて Silence,
46.27 ,風が頬を撫でて香る くんくんくん,
52.85 ,今夜のおかずは ハンバーグかな,
56.52 ,じゅるるるるるるる,
58.141,ぎゅるるるるるるる,
59.756,そうじゃない ! ,
64.605,いたずら目して やだもん,
67.888,ご褒美が 欲しいもん,
71.099,まつ毛が触れるほど 急接近,
76.312,…な～んて甘い,
77.671,ドキドキしたでしょ にゃお ! ,
81.119,,
93.811,瞳を閉じて ね～え,
97.011,勇気を出して いいよ,
100.281,ざわめく街が 息を呑む,
105.785,…スキあり ! ,
106.791,ドキドキしたでしょ にゃお ! ,
110.047,子猫じゃないのよ,
117.214,,
