time,lyrics,size
0,,
2.817,Fight ! Fight ! Let's Go !,
5.083,Fight ! Fight ! 頑張って !,
7.75,Fight ! Fight ! Let's Go !,
10.333,Fight ! Fight ! 負けないで !,
12.767,フレーフレーみんなでLet's Go !,
15.65,フレーフレー大きな声で !,
18.167,フレーフレー気持ちを込めて ! Go !,
23.667,気持ちいいこと思いついたら now on time やっちゃって？,
29.017,もっと一杯楽しみたいね every time 頑張って？,
34.467,失敗ばかり落ち込むときも sometime 負けないで？,
40.25,みんなの笑顔見ていたいから any time 応援するぞ？,
45.9,苦しい時は 一発逆転のチャンスだよ,
53.267,根性見せて 力いっぱいで,
58.733,上げて上げていきますよ,
62.0,燃えて燃えていきますよ,
64.917,乗って乗っていきますよ,
67.567,もっともっと大きな声でジャンプ,
71.517,「最高 !」,
72.883,応援してるね 一等賞 !,
75.45,いつでも私がそばにいるよ,
78.0,Yes ! Yes ! 気合い入れて,
80.55,飛び出して ! ときめいて !,
83.3,応援してるよ 一等賞 !,
85.983,頑張るあなたが大好きだよ,
88.417,Yes ! Yes ! 気持ちいいね,
91.067,忘れない この想い,
93.717,いけるよいけるよいけるよいけるよ,
96.333,祝杯あげるね !,
99.217,Fight ! Fight ! Let's Go !,
101.633,Fight ! Fight ! まだまだよ !,
104.313,Fight ! Fight ! Let's Go !,
106.767,Fight ! Fight ! ガッツだぜ !,
109.333,フレーフレーみんなでLet's Go !,
112.033,フレーフレー大きな声で !,
114.667,フレーフレー気持ちを込めて ! Go !,
119.6,,
