time,lyrics,size
0,,
1.367,『セクシーを以て悪を征する…,
4.817,私たち、セクシーギルティ ! 』,
8.117,,
8.75,セクシー過ぎてゴメンネ★,
12.083,世直しギルティ　行くぞ !,
16.167,（ギルティ ! ）,
17.733,どんよりジャパンに参上,
20.233,ああ　ダークなヒロイン　エキゾチック,
23.75,三度のメシより正義感,
26.167,ああ　やめられない　止まらない,
29.517,ちょい待って !,
30.55,今の言葉　誰かのこと傷つけてない？,
35.05,さあ　胸に手を当てて……,
38.383,ズキューン ! ×4　反省★,
41.35,イジメはダメダメ～,
44.317,ケンカはホドホド～,
47.267,それよりハグしよう？,
50.233,ドキドキさせちゃお♪,
53.2,セクシー　即ち　ジャスティス★,
56.167,悩殺スペシャルテク !,
59.167,「さいきっく・おいろけビーム ! 」,
61.55,「もうっ、ユッコちゃーんっ ! 」,
62.833,Let's go!,
63.583,セクシー過ぎてゴメンネ★,
66.717,脳天直撃　ドバババーン !,
69.25,モーレツ★,
69.867,すっご～い秘密兵器よ,
72.467,胸に秘めたるは　Big Burning Heart,
77.033,,
78.383,罪を憎んで　人は憎まずにセクシー,
84.317,とにもかくにも　ほら　世界はセクシー,
90.233,ズキューン ! ×4,
92.6,Let's go!,
93.15,メチャクチャ過ぎてゴメンネ★,
96.35,弾けるエナジー　ムムムムーン !,
98.9,モーレツ★,
99.5,すっご～いシナジーかませ,
102.083,キメろ　正義のボンキュッボーン !,
104.683,Oh! セクシー過ぎてゴメンネ★,
108.2,脳天直撃　ドバババーン !,
110.6,モーレツ★,
111.35,すっご～い秘密兵器よ,
113.917,胸に秘めたるは　Big Burning Heart,
118.367,（ギルティ ! ）,
119.667,,
