time,lyrics,size
0.00 ,,
4.533 ,Ready Go!,
6.533 ,Hey Hey Hey Windy Days!,
10.5162,,
18.70 ,ゾクゾクする風　感じてる,
21.55 ,鼓動が騒ぐ Naked Heart,
24.1042 ,ヤバいくらいアツくなれそう,
26.95 ,ウインク投げてスマイル,
29.567 ,目と目あわせて　うなずきあえば,
34.8255 ,きっと行ける　まだ見ぬシャングリラへ,
39.5875 ,きらめいて　揺らめいて,
42.283 ,どこまでも　高鳴る想い　Virgin Love,
46.733 ,ときめきが　スピードあげてく,
50.383 ,追い風も　追いこして　しまうほど,
54.40 ,ピュアでタフなハートで,
57.2882 ,サイコーの瞬間　つかまえるから,
63.2005 ,道がないなら　自分で作ればいい,
68.317,彼方に光るモノ　それが何かを　確かめたい,
77.333,これまでも　これからも,
80.033,思いっきり　楽しむだけさ　全部,
84.20,抱きしめて　輝きの中へ,
88.233,きらめいて　揺らめいて,
90.833,どこまでも　高鳴る想い　Virgin Love,
95.133,ときめきが　スピードあげてく,
98.9743,追い風も　追いこして　しまうほど,
102.967,ピュアでタフなハートで,
105.883,サイコーの瞬間　つかまえるから,
112.4954,Ready Go!,
114.530,Go Go Go Windy Way!,
118.3862,,
