time,lyrics,size
0,,
23.93 ,ミンミンミン ミンミンミン ウサミン !  ×３,
32.08 ,ウサウサウサ ウサミン ! ,
35.22 ,電波でＯＫ 受信でＯＫ,
37.84 ,ウサミン ウサミン グルコサミン,
40.80 ,心はちゃんと 通じてるんです,
43.50 ,「キュート・キューティ・キューティクル♪」,
46.36 ,歌うのＯＫ ダンスもＯＫ,
49.21 ,ウサミン ウサミン プロビタミン,
52.01 ,これでもちゃんと アイドルなんです,
54.87 ,「ハートウェーブ !  ピリピリーンッ ! 」,
57.55 ,ウサミン ウサミン 電車で向かえば１時間,
63.28 ,ウサミン レム睡眠,
67.908,,
76.122,ウサミンパワーで メルヘンチェンジ みんな大好き,
84.35,好き好き大好き うー どっかーん ! ,
87.23,ウサミンハートに キュンキュンきらめく ホントの気持ち,
95.724,「キャハッ !  ラブリー１７歳♪ ブイッ♪」,
98.635,大事な大事な ときめきだモン ! ,
103.042,,
104.265,「わーんつー !  せーの !  ハイ ! 」,
107.074,ミンミンミン ミンミンミン ウサミン !  ×３,
115.522,ウサウサウサ ウサミン ! ,
118.55,,
