0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,4,w1,,
0.03333,5,w1,,
2.4997499999999997,1,1-2,,
2.5997399999999997,2,1-2,,
2.5997399999999997,3,1-2,,
2.6997299999999997,4,1-2,,
2.6997299999999997,5,1-2,,
2.76639,MOT_mc_light_under_00,l3,,
2.76639,MOT_mc_stage_color_00,b,,
2.76639,MOT_mc_speaker_00,temp4,,
2.96637,1,w2,,
2.96637,2,w2,,
2.96637,3,w2,,
2.96637,4,w2,,
2.96637,5,w2,,
8.03253,4,2-3,,
8.03253,5,2-3,,
8.13252,2,2-3,,
8.13252,3,2-3,,
8.23251,1,2-3,,
8.49915,1,w3,,
8.49915,2,w3,,
8.49915,3,w3,,
8.49915,4,w3,,
8.49915,5,w3,,
13.56531,4,3-4,,
13.631969999999999,2,3-4,,
13.69863,1,3-4,,
13.76529,3,3-4,,
13.831949999999999,5,3-4,,
14.09859,1,w4,,
14.09859,2,w4,,
14.09859,3,w4,,
14.09859,4,w4,,
14.09859,5,w4,,
18.9981,5,4-1,,
19.06476,3,4-1,,
19.13142,1,4-1,,
19.198079999999997,2,4-1,,
19.26474,4,4-1,,
19.53138,1,w1,,
19.53138,2,w1,,
19.53138,3,w1,,
19.53138,4,w1,,
19.53138,5,w1,,
24.76419,MOT_mc_light_up_00,l1,,
24.76419,1,1-2,,
24.76419,2,1-2,,
24.76419,3,1-2,,
24.76419,4,1-2,,
24.76419,5,1-2,,
25.09749,MOT_mc_stage_color_00,b-y,,
25.09749,MOT_mc_bg_black_00,b80-65,,
25.09749,1,lp2,l1,
25.09749,2,lp2,l1,
25.09749,3,lp2,l1,
25.09749,4,lp2,l1,
25.09749,5,lp2,l1,
26.76399,1,2-3,,
26.76399,2,2-3,,
26.76399,3,2-3,,
26.76399,4,2-3,,
26.76399,5,2-3,,
27.03063,1,lp3,,
27.03063,2,lp3,,
27.03063,3,lp3,,
27.03063,4,lp3,,
27.03063,5,lp3,,
29.19708,5,3-4,lb0,
29.26374,4,3-4,lb0,
