0.03333,MOT_mc_bg_black_00,seat100-0,,
2.3997599999999997,1,j1-2,,
2.73306,MOT_mc_stage_color_00,r,,
2.73306,MOT_mc_light_up_00,l1,,
2.73306,MOT_mc_speaker_00,temp4,,
2.76639,2,j1-2,,
2.76639,3,j1-2,,
2.76639,4,j1-2,,
2.76639,5,j1-2,,
3.19968,1,lp2,,
3.19968,2,lp2,,
3.19968,3,lp2,,
3.19968,4,lp2,,
3.19968,5,lp2,,
3.4329899999999998,1,2-3,,
3.53298,2,,l1,
3.53298,3,,r1,
3.53298,4,,l1,
3.53298,5,,r1,
3.8662799999999997,2,,l2,
3.8662799999999997,3,,r2,
3.8662799999999997,4,,l2,
3.8662799999999997,5,,r2,
4.06626,1,j3-4,,
4.06626,2,2-4,,
4.06626,3,2-4,,
4.06626,4,2-4,,
4.06626,5,2-4,,
4.46622,1,4-1,,f1
4.46622,2,w4,,
4.46622,3,w4,,
4.46622,4,w4,,
4.46622,5,w4,,
4.59954,MOT_mc_bg_black_00,b80-65,,
4.59954,MOT_mc_light_up_00,l3,,
4.59954,MOT_mc_light_center_00,l1,,
4.59954,MOT_mc_light_under_00,l3,,
4.83285,1,lp1,,
5.83275,1,1-2,,
6.23271,1,lp2,,
7.132619999999999,1,2-3,,
7.532579999999999,1,lp3,,
8.23251,1,,r1,
8.73246,1,,r2,
9.06576,1,3-4,,
9.49905,1,lp4,,
9.93234,1,4-2,,
10.36563,1,lp2,,
11.46552,1,2-1,,
11.832149999999999,1,lp1,,
12.232109999999999,1,,rb1,
12.56541,1,,rb0,
12.79872,1,1-2,,
13.26534,1,w2,,
13.59864,1,j2-3,,
13.965269999999999,2,j4-1,,
13.965269999999999,3,j4-1,,
14.09859,4,j4-1,,
14.09859,5,j4-1,,
14.465219999999999,1,3-3,,
14.465219999999999,2,w1,,
14.465219999999999,3,w1,,
14.465219999999999,4,w1,,
14.465219999999999,5,w1,,
14.9985,1,sp3-4,,
15.79842,1,sj4,,
15.79842,2,sj1,,
15.79842,3,sj1,,
15.79842,4,sj1,,
15.79842,5,sj1,,
16.43169,1,4-2,,
16.43169,2,1-3,,
16.43169,3,1-3,,
16.43169,4,1-3,,
16.43169,5,1-3,,
16.83165,1,sj2,,
16.83165,2,w3,,
16.83165,3,w3,,
16.83165,4,w3,,
16.83165,5,w3,,
17.23161,1,lp2,,
17.764889999999998,1,,l1,
18.46482,1,,lb0,
18.79812,1,2-3,,
19.29807,1,sj3,,
19.73136,1,lp3,,
20.26464,1,,r1,
21.03123,1,,rb0,
21.46452,1,sp3-4,,
21.53118,2,sp3-4,,
21.53118,3,sp3-4,,
21.53118,4,sp3-4,,
21.53118,5,sp3-4,,
22.13112,1,sj4,,
22.13112,2,sj4,,
22.13112,3,sj4,,
22.13112,4,sj4,,
22.13112,5,sj4,,
22.49775,2,w4,,
22.49775,3,w4,,
22.49775,4,w4,,
22.49775,5,w4,,
22.53108,1,4-1,,
23.231009999999998,1,1-1,,
23.830949999999998,1,lp1,l1,
24.93084,1,,lb0,
25.464119999999998,1,1-2,,
25.93074,1,j2-3,,
26.63067,1,3-4,,
27.59724,1,4-1,,b0
27.9972,1,lp1,,
28.23051,2,4-3,lb1,
28.23051,3,4-3,rb1,
28.39716,4,4-3,lb1,
28.39716,5,4-3,rb1,
28.76379,1,1-2,,
29.297069999999998,4,3-2,,
29.297069999999998,5,3-2,,
29.43039,2,3-2,,
29.43039,3,3-2,,
29.59704,1,2-3,,
29.963669999999997,1,j3-1,,
30.89691,1,1-4,,
31.03023,2,2-4,lb0,
31.03023,3,2-4,rb0,
31.163549999999997,4,2-4,lb0,
31.163549999999997,5,2-4,rb0,
31.89681,1,4-3,,
31.89681,2,4-3,,
31.89681,3,4-3,,
31.89681,4,4-3,,
31.89681,5,4-3,,
32.36343,1,w3,,
32.36343,2,w3,,
32.36343,3,w3,,
32.36343,4,w3,,
32.36343,5,w3,,
32.39676,1,3-1,,
32.86338,1,lp1,,
34.16325,1,1-2,,f1
34.56321,1,lp2,,
35.36313,1,,l1,
36.06306,1,,l2,
36.62967,1,2-3,,
36.9963,1,lp3,,
37.69623,1,,lb1,
38.02953,1,j3-4,,
38.46282,1,lp4,,
38.796119999999995,2,3-1,,
39.06276,3,3-1,,
39.36273,1,j4-1,,
39.82935,1,lp1,,
39.82935,2,w1,,
39.82935,3,w1,,
40.329299999999996,4,3-1,,
40.52928,5,3-1,,
40.86258,1,1-3,,
41.229209999999995,1,lp3,lb0,
41.229209999999995,2,w1,,
41.229209999999995,3,w1,,
41.229209999999995,4,w1,,
41.229209999999995,5,w1,,
41.629169999999995,1,,r1,
42.26244,1,,r2,
42.59574,1,3-1,,
43.52898,1,j1-4,,
44.22891,2,j1-4,,
44.22891,3,j1-4,,
44.22891,1,w4,,
44.56221,4,j1-4,,
44.56221,5,j1-4,,
