time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image
0,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,1,0
4.40367,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,109,0
13.211009,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,18.16666667,0
16.513761,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Pause,1,0
17.06422,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
17.614679,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,109,0
41.834862,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,109,0
42.522936,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,320,3
42.798165,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,320,2
42.96578,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Pause,1,0
43.761468,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,218,8
44.016697,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,109,0
68.256881,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,36.33333333,0
69.908257,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
70.458716,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,36.33333333,0
72.110092,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
72.66055,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,36.33333333,0
74.311927,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
74.862385,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,48.44444444,0
76.100917,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,218,8
76.376147,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,436,0
76.651376,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,360,2
76.788991,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Pause,1,2
76.926606,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,436,8
77.06422,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,109,0
85.87156,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,36.33333333,0
87.522936,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
88.073394,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,36.33333333,0
89.724771,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
90.275229,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,36.33333333,0
91.926606,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
92.477064,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,36.33333333,0
94.12844,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
94.668899,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Oioi,109,0
121.100917,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,15.57142857,0
124.954128,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
125.504587,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,36.33333333,0
127.155963,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,109,8
127.706422,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Uhoi,27.25,0
129.908257,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Pause,1,0
132.110092,Uhoi,5,Random2,Red02,Red02,,,,,,,,,Bye,300,0
