time,lyrics,size
0,,
2.00 ,何かありそうな 高いブルースカイ,
5.32 ,,
7.38 ,会いたいから 焼いちゃおうアップルパイ,
10.40 ,君の笑顔 見たいんだもん,
13.46 ,,
18.16 ,十時 目覚ましが鳴る,
22.32 ,やわらかな日差し お姫様タイム,
28.97 ,休日 濃いめのミルクティー,
33.00 ,いつもより少し 大きめのカップ,
39.88 ,オシャレしたら ちょっと暑いけど,
45.62 ,君と おやつ食べよう,
51.22 ,,
53.35 ,レッツゴー バターとりんご,
57.64 ,そしてグラニュー糖 ラム酒をふってレモン汁,
64.15,もっと のばすわパイシート,
68.387,砕いてビスケット 最後にそっと投げキッス,
75.468,十二時でも 解けない魔法,
80.877,君となら そう 私はプリンセス,
88.2,会いたいから 焼いたのアップルパイ,
91.66,君となら,
93.659,何かありそうな 気がするわ,
96.687,いつでも一緒が いいんだもん,
99.844,弾けそうね ふくらむ夢,
105.294,思い寄せる 君にあげる,
110.684,十時の魔法 永遠なの,
116.028,君となら そう プリンセスよ,
121.35,,
