0.03333,MOT_mc_bg_black_00,stay,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,4,w1,,
0.03333,5,w1,,
1.89981,MOT_all,cut1,,
2.19978,MOT_control_all,cut1_01,,
2.5997399999999997,MOT_mc_bg_black_00,b80-45,,
2.76639,1,1-2,,
2.76639,2,1-2,,
2.76639,3,1-2,,
2.76639,4,1-2,,
2.76639,5,1-2,,
3.09969,1,w2,,
3.09969,2,w2,,
3.09969,3,w2,,
3.09969,4,w2,,
3.09969,5,w2,,
5.43279,1,2-4,,
5.43279,2,2-4,,
5.43279,3,2-4,,
5.43279,4,2-4,,
5.43279,5,2-4,,
5.86608,1,w4,,
5.86608,2,w4,,
5.86608,3,w4,,
5.86608,4,w4,,
5.86608,5,w4,,
6.466019999999999,2,,r1,
6.466019999999999,3,,l1,
6.466019999999999,4,,r1,
6.466019999999999,5,,l1,
8.79912,1,4-1,,
8.79912,2,4-1,,
8.79912,3,4-1,,
8.79912,4,4-1,,
8.79912,5,4-1,,
9.19908,1,1-2,,
9.19908,2,1-2,rb0,
9.19908,3,1-2,lb0,
9.19908,4,1-2,rb0,
9.19908,5,1-2,lb0,
9.599039999999999,1,w2,,
9.599039999999999,2,w2,,
9.599039999999999,3,w2,,
9.599039999999999,4,w2,,
9.599039999999999,5,w2,,
9.86568,1,,,
9.86568,2,,l1,
9.86568,3,,r1,
9.86568,4,,l1,
9.86568,5,,r1,
10.56561,4,,l2,
10.56561,5,,r2,
12.59874,1,sp2-3,,f1
12.59874,2,sp2-3,,f1
12.59874,3,sp2-3,,f1
12.59874,4,sp2-3,,f1
12.59874,5,sp2-3,,f1
13.46532,MOT_mc_back_00,cut1_2,,
13.49865,1,j3-4,,
13.49865,2,j3-4,,
13.49865,3,j3-4,,
13.49865,4,j3-4,l3,
13.49865,5,j3-4,r3,
13.89861,1,4-3,,
13.89861,2,4-3,l2,
13.89861,3,4-3,r2,
13.89861,4,4-3,,
13.89861,5,4-3,,
14.29857,1,j3-2,,
14.49855,2,j3-2,,
14.49855,3,j3-2,,
14.665199999999999,4,j3-2,,
