0.03333,MOT_mc_bg_black_00,b80-45,,
0.03333,MOT_mc_special_01,stay,,
0.03333,MOT_mc_back_00,cut1_2,,
0.03333,MOT_all,stay,,
0.00000,1,w1,,
0.00000,1,sort,-13000,
0.00000,2,w1,,
0.00000,2,sort,-13000,
0.00000,3,w1,,
0.00000,3,sort,-13000,
0.00000,4,w1,,
0.00000,4,sort,-13000,
0.00000,5,w1,,
0.00000,5,sort,-13000,
0.06666,MOT_mc_special_01,cut1,,
2.76639,MOT_all,intro,,
2.76639,1,1-2,,
2.76639,2,1-2,,
2.76639,3,1-2,,
2.76639,4,1-2,,
2.76639,5,1-2,,
3.09969,1,w2,,
3.09969,2,w2,,
3.09969,3,w2,,
3.09969,4,w2,,
3.09969,5,w2,,
5.43279,1,2-4,,f0
5.43279,1,sort,-13000,
5.43279,2,2-4,,f0
5.43279,2,sort,-13000,
5.43279,3,2-4,,f0
5.43279,3,sort,-13000,
5.43279,4,2-4,,f0
5.43279,4,sort,-13000,
5.43279,5,2-4,,f0
5.43279,5,sort,-13000,
5.86608,1,w4,,
5.86608,2,w4,,
5.86608,3,w4,,
5.86608,4,w4,,
5.86608,5,w4,,
6.466019999999999,2,,r1,
6.466019999999999,3,,l1,
6.466019999999999,4,,r1,
6.466019999999999,5,,l1,
8.79912,1,4-1,,
8.79912,2,4-1,,
8.79912,3,4-1,,
8.79912,4,4-1,,
8.79912,5,4-1,,
9.19908,1,1-2,,
9.19908,2,1-2,rb0,
9.19908,3,1-2,lb0,
9.19908,4,1-2,rb0,
9.19908,5,1-2,lb0,
9.599039999999999,1,w2,,
9.599039999999999,2,w2,,
9.599039999999999,3,w2,,
9.599039999999999,4,w2,,
9.599039999999999,5,w2,,
9.86568,1,,,
9.86568,2,,l1,
9.86568,3,,r1,
9.86568,4,,l1,
9.86568,5,,r1,
10.56561,4,,l2,
10.56561,5,,r2,
11.96547,1,sp2-3,,f1
11.96547,1,sort,-13000,
11.96547,2,sp2-3,,f1
11.96547,2,sort,-13000,
11.96547,3,sp2-3,,f1
11.96547,3,sort,-13000,
11.96547,4,sp2-3,,f1
11.96547,4,sort,-13000,
11.96547,5,sp2-3,,f1
11.96547,5,sort,-13000,
12.532079999999999,1,w3,,
12.532079999999999,2,w3,,
12.532079999999999,3,w3,,
12.532079999999999,4,w3,,
12.532079999999999,5,w3,,
13.36533,1,3-4,,
13.36533,2,3-4,,
13.36533,3,3-4,,
13.36533,4,3-4,l3,
13.36533,5,3-4,r3,
13.831949999999999,1,4-3,,
13.831949999999999,2,4-3,l2,
13.831949999999999,3,4-3,r2,
13.831949999999999,4,4-3,,
13.831949999999999,5,4-3,,
14.29857,1,j3-2,,
14.49855,2,j3-2,,
14.49855,3,j3-2,,
14.665199999999999,4,j3-2,,
14.665199999999999,5,j3-2,,
15.03183,1,w2,,
15.03183,2,w2,,
15.03183,3,w2,,
15.03183,4,w2,,
15.03183,5,w2,,
16.03173,1,2-1,,
16.03173,2,2-1,,
16.03173,3,2-1,,
16.03173,4,2-1,,
16.03173,5,2-1,,
16.29837,MOT_all,cut1,,
16.43169,1,lp1,,
16.43169,2,lp1,,
16.43169,3,lp1,,
16.43169,4,lp1,,
16.43169,5,lp1,,
17.39826,1,1-2,,
17.39826,2,1-2,,
17.39826,3,1-2,,
17.39826,4,1-2,,
17.39826,5,1-2,,
17.39826,2,,l3,
17.39826,4,,lb3,
17.39826,3,,r3,
17.39826,5,,rb3,
17.79822,1,lp2,,
17.79822,2,lp2,,
17.79822,3,lp2,,
17.79822,4,lp2,,
17.79822,5,lp2,,
19.03143,1,2-4,,
19.03143,2,2-4,,
19.03143,3,2-4,,
19.03143,4,2-4,,
19.03143,5,2-4,,
19.03143,2,,lb2,
19.03143,4,,l4,
19.03143,3,,r2,
19.03143,5,,r4,
19.364729999999998,1,lp4,,
19.364729999999998,2,lp4,,
19.364729999999998,3,lp4,,
19.364729999999998,4,lp4,,
19.364729999999998,5,lp4,,
21.36453,1,4-2,,
21.36453,2,4-2,,
21.36453,3,4-2,,
21.36453,4,4-2,,
21.36453,5,4-2,,
21.73116,1,lp2,,
21.73116,2,lp2,,
21.73116,3,lp2,,
21.73116,4,lp2,,
21.73116,5,lp2,,
23.16435,MOT_mc_special_01,cut2,,
23.16435,MOT_all,cut1_02,,
23.79762,1,2-3,,
23.79762,2,2-3,,
23.79762,3,2-3,,
23.79762,4,2-3,,
23.79762,5,2-3,,
24.16425,1,lp3,,
24.16425,2,lp3,,
24.16425,3,lp3,,
24.16425,4,lp3,,
24.16425,5,lp3,,
32.73006,MOT_mc_bg_black_00,none,,
62.727059999999994,MOT_mc_special_02,cut4_01,,
64.42689,MOT_mc_special_02,cut4_02,,
66.09339,MOT_mc_special_02,cut4_03,,
70.35963,1,4-1,,b0
70.35963,1,sort,-13000,
70.35963,4,4-1,,b0
