time,lyrics,size
0,,
25.74 ,「おいでよ ! 」季節の扉を開けたら,
31.84 ,まばゆい街 はずむ声が,
34.44 ,ふりそそぐよ,
37.25 ,不思議ね 冷たい風でも寒くない,
43.32 ,あの笑顔が もう少しで,
46.03 ,見られるから,
49.44 ,ショーウィンドウの光の海に,
54.97 ,みんな集まるけど,
57.71 ,息切らし 走って,
60.59 ,今日も(今日も) 君は(君は) 遅れてきたね ! ,
65.66 ,Wing of Snow まとえばShining,
68.62 ,Wing of Snow 羽ばたけDreaming,
71.904,歌うほど 踊るほど 逢いたくなるよ,
77.136,Wing of Snow 叶えてShining,
80.104,Wing of Snow わたしのDreaming,
83.407,この想い もう少し 秘密にしたいの,
89.137,いつかきっと 君の胸に飛び込んでいくでしょう,
95.817,Wing of Snow,
98.816,Wing of Snow,
101.662,Wing of Snow,
106.92,,
