0.03333,MOT_mc_bg_black_00,seat100-0,,
1.46652,MOT_mc_bg_black_00,b80-45,,
1.5665099999999998,1,1-2,,
1.5665099999999998,2,1-2,,
1.5665099999999998,3,1-2,,
1.59984,MOT_mc_light_up_00,l1,,
1.59984,MOT_mc_stage_color_00,b,,
1.59984,MOT_mc_speaker_00,temp1,,
1.9331399999999999,1,lp2,,
1.9331399999999999,2,lp2,,
1.9331399999999999,3,lp2,,
6.23271,1,2-3,,
6.23271,2,2-3,,
6.23271,3,2-3,,
6.79932,1,lp3,,
6.79932,2,lp3,,
6.79932,3,lp3,,
9.83235,1,3-2,,
9.998999999999999,2,3-2,,
9.998999999999999,3,3-2,,
10.43229,1,lp2,,
10.43229,2,lp2,,
10.43229,3,lp2,,
12.59874,1,2-4,,
13.39866,2,2-4,,
14.83185,3,2-4,,
15.39846,1,lp4,,
15.39846,2,lp4,,
15.39846,3,lp4,,
15.39846,4,lp1,,
15.39846,5,lp1,,
20.49795,1,4-1,,f1
20.49795,2,4-1,,f1
20.49795,3,4-1,,f1
20.6646,MOT_mc_stage_color_00,b-flash,,
20.6646,MOT_mc_light_up_00,l2,,
20.6646,MOT_mc_light_center_00,l2,,
20.6646,MOT_mc_light_under_00,l1,,
20.6646,MOT_mc_bg_black_00,b45-65,,
20.6646,MOT_mc_speaker_00,temp3,,
20.96457,1,lp1,,
20.96457,2,lp1,,
20.96457,3,lp1,,
20.96457,4,lp1,,
20.96457,5,lp1,,
22.197779999999998,1,j1-2,,
22.197779999999998,2,j1-2,,
22.197779999999998,3,j1-2,,
23.031029999999998,1,w2,,
23.031029999999998,2,w2,,
23.031029999999998,3,w2,,
23.69763,1,j2-3,,
23.69763,2,j2-3,,
23.69763,3,j2-3,,
24.664199999999997,1,w3,,
24.664199999999997,2,w3,,
24.664199999999997,3,w3,,
25.39746,1,j3-4,,
25.39746,2,j3-4,,
25.39746,3,j3-4,,
26.3307,1,w4,,
26.3307,2,w4,,
26.3307,3,w4,,
27.097289999999997,1,j4-2,,
27.097289999999997,2,j4-2,,
27.097289999999997,3,j4-2,,
27.097289999999997,4,1-2,,
27.097289999999997,5,1-2,,
27.897209999999998,1,sj2,,
27.897209999999998,2,sj2,,
27.897209999999998,3,sj2,,
28.03053,4,sj2,,
28.03053,5,sj2,,
28.63047,1,j2-3,,
28.63047,2,j2-3,,
28.63047,3,j2-3,,
28.63047,4,2-1,,
28.63047,5,2-1,,
29.097089999999998,1,lp3,,
29.097089999999998,2,lp3,,
29.097089999999998,3,lp3,,
29.097089999999998,4,lp1,,
29.097089999999998,5,lp1,,
30.39696,1,,l1,
30.39696,2,,l1,
30.39696,3,,l1,
30.86358,1,,l2,
30.86358,2,,l2,
30.86358,3,,l2,
31.23021,1,,l3,
31.23021,2,,l3,
31.23021,3,,l3,
32.13012,1,,lb2,
32.13012,2,,lb2,
32.13012,3,,lb2,
32.663399999999996,1,,lb1,
32.663399999999996,2,,lb1,
32.663399999999996,3,,lb1,
32.96337,1,,lb0,
32.96337,2,,lb0,
32.96337,3,,lb0,
33.26334,1,sj3,,
33.26334,2,sj3,,
33.26334,3,sj3,,
33.52998,4,sj1,,
33.52998,5,sj1,,
33.863279999999996,1,3-2,,
33.863279999999996,2,3-2,,
33.863279999999996,3,3-2,,
33.863279999999996,4,1-2,,
33.863279999999996,5,1-2,,
33.863279999999996,MOT_mc_light_under_00,l2,,
