time,lyrics,size
0,,
13.60 ,どこまでも広がる グラデーション,
19.19 ,ゆっくりと オレンジが燃える,
24.53 ,光差す放課後 続くエモーション,
30.07 ,いつまでも 笑い声響いた,
35.18 ,Shooting the star,
37.55 ,闇を切り裂いて進むよ,
40.63 ,Beating my heart,
42.93 ,それは止められない すべてを輝かすよ,
49.05 ,無我夢中 きらめいて 流れる星のストライド,
54.29 ,才色兼備 いいけれど 三日月も綺麗だよね,
59.79 ,純真無垢に 見えるけど 星の海翔けるグライド,
65.24 ,賛否両論 いいじゃない,
67.62 ,繋がって 離れる,
70.367,連なって 輝く,
73.084,心を 追いかけてく,
79.751,,
100.882,一度きりの旅だから,
103.623,自分だけの旅だから,
105.823,ねぇ 感じていたいんです,
108.527,連なって 輝く,
111.199,止めても あふれる,
113.927,I love you because you are you.,
119.68,,
