time,lyrics,size
0.00 ,,
17.750 ,上り詰めた故に見える,
21.967 ,どこまでも美しい世界,
26.567 ,この場所に立てるのならば,
30.967 ,闘うことは恐れない,
35.200 ,感覚を研ぎ澄ましSet on,
37.517 ,淡白を蹴っ飛ばしRock on,
39.567 ,インパクト此処に打ち込んだら,
41.697 ,Are you ready？,
43.350 ,I am going to aim higher,
48.033 ,少しでも　わずかでも,
52.717 ,I will be everyone's target,
56.833 ,誰よりも前を向いて,
61.250,その期待は裏切らない,
65.100,今は,
65.867,"Trust me, and follow me",
68.350,後悔することは無いか？,
70.600,挽回の準備はいいか？,
72.667,自分自身を限界突破,
74.733,今心に火をつけろ,
76.333,「発火」,
78.790,,
85.183,I am going to aim higher,
89.817,少しでも　わずかでも,
94.500,I will be everyone's target,
98.667,誰よりも前を向いて,
103.033,その期待は裏切らない,
106.933,この歌声が響く限り,
112.167,一緒に歩いていこう,
115.713,あの果てしない道の先へと,
123.950,Wow Oh Oh Ah Ah,
131.680,,
