time,lyrics,size
0,,
2.63 ,ハンパな気持ちはいらねえ どんな時でもガチが信条さ,
8.13 ,仏恥義理義理 Yeah! 落とし前ってやつ,
11.07 ,C'mon! C'mon! Alright キッチリつけるぜ,
16.77 ,,
25.08 ,闇を照らすテールランプ 連なり揺れる海岸線,
30.32 ,柄にもないね 潮の香りに 切なさが不意によぎる,
36.27 ,覚悟なんてとっくに 決まってんだろ？ついてきな,
41.75 ,女は度胸 ! 不器用なりに 純な気持ちを 見せてやるから,
48.83 ,"煌めく星屑の海 浮かぶLonely heart, Only night かっ飛ばして",
54.80 ,研ぎ澄ませたこの想い 解き放つのさ Are you OK？,
60.25 ,Midnight 気合上等 ! 夢に特攻 Let's Go! キメるぜ,
65.39 ,さあ限界なんて追い越して 風を切ったその先で未来を見ようぜ,
74.22 ,さみしがりの天使たちが 今日もまた,
79.97,きわどいライン 攻め抜く 命の炎燃やして…,
85.55,Baby 走志走愛 マブい感情 純情ナメんな,
90.83,もう全開バリバリ捧げば ハートは祭りさ 楽しもうぜ,
96.75,Midnight 気合上等 ! 夢に特攻 Let's Go! キメるぜ,
101.97,さぁ限界なんて追い越して 風に乗ってその先の未来へ行こうぜ,
109.18,Oi Oi Oi そうさ今宵は Ai Ai Ai 愛の集会（つどい）さ,
114.893,Boom Boom Boom 胸のエンジン 今 うなりを上げて 伝説になる,
122.58,,
