id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,101,0,0
2,0,91,,,,0,0
3,5.333333,1,5,4,0,0,0
4,6.666667,1,5,4,0,0,0
5,8,1,1,2,0,0,0
6,9.333333,1,1,2,0,0,0
7,10.666667,1,3,2,0,0,0
8,12,1,3,4,0,0,0
9,13.333333,2,3,3,0,0,0
10,14.666667,2,3,3,0,0,0
11,16,1,2,1,0,0,0
12,17.333333,1,4,5,0,0,0
13,18.666667,1,3,2,0,0,0
14,20,1,3,4,0,0,0
15,21.333333,2,1,2,0,0,0
16,22.666667,2,1,2,0,0,0
17,24,2,5,4,0,0,0
18,25.333333,2,5,4,0,0,0
19,26.666667,2,3,3,0,0,0
20,29.333333,2,3,3,0,0,0
21,32,1,2,2,0,0,0
22,33.333333,1,2,2,0,0,0
23,34.666667,1,4,4,0,0,0
24,36,1,4,4,0,0,0
25,37.333333,2,5,4,0,0,0
26,38.666667,2,5,4,0,0,0
27,40,1,4,5,0,0,0
28,41.333333,1,1,2,0,0,0
29,42.666667,1,2,2,0,0,0
30,44,1,2,2,0,0,0
31,45.333333,1,4,4,0,0,0
32,46.666667,1,4,4,0,0,0
33,48,2,3,4,0,0,0
34,49.333333,2,3,4,0,0,0
35,50.666667,1,4,5,0,0,0
36,52,1,1,2,0,0,0
37,53.333333,2,2,1,0,0,0
38,54.666667,2,2,1,0,0,0
39,56,2,4,5,0,0,0
40,57.333333,2,4,5,0,0,0
41,58.666667,1,3,2,0,0,0
42,60,1,4,3,0,0,0
43,61.333333,1,5,4,0,0,0
44,62.666667,1,5,5,0,0,0
45,64,2,1,2,0,1,0
46,64,2,5,4,0,1,0
47,65.333333,2,1,2,0,1,0
48,65.333333,2,5,4,0,1,0
49,66,1,3,3,0,0,0
50,66.666667,1,4,5,0,1,0
51,66.666667,1,1,2,0,1,0
52,68,1,5,4,0,1,0
53,68,1,2,1,0,1,0
54,69.333333,1,1,2,0,1,0
55,69.333333,1,4,5,0,1,0
56,70.666667,1,2,1,0,1,0
57,70.666667,1,5,4,0,1,0
58,72,1,1,2,0,0,0
59,73.333333,1,5,4,0,0,0
60,74.666667,1,3,2,0,0,0
61,76,1,3,5,0,0,0
62,77.333333,1,4,5,0,1,0
63,77.333333,1,1,2,0,1,0
64,78.666667,1,5,4,0,1,0
65,78.666667,1,2,1,0,1,0
66,80,1,2,1,0,1,0
67,80,1,5,4,0,1,0
68,81.333333,1,1,2,0,1,0
69,81.333333,1,4,5,0,1,0
70,82.666667,1,3,2,0,0,0
71,84,1,5,4,0,0,0
72,85.333333,1,3,3,0,0,0
73,86.666667,2,3,3,0,0,0
74,87.333333,2,3,3,0,0,0
75,88,1,1,2,0,0,0
76,88.666667,1,1,2,0,0,0
77,89.333333,1,1,2,0,0,0
78,90.666667,1,5,4,0,0,0
79,91.333333,1,5,4,0,0,0
80,92,1,5,4,0,0,0
81,93.333333,1,2,1,0,0,0
82,94.666667,1,4,3,0,0,0
83,96,2,5,5,0,0,0
84,97.333333,2,5,5,0,0,0
85,98.666667,1,4,5,0,0,0
86,100,1,2,1,0,0,0
87,101.333333,1,3,4,0,0,0
88,102.666667,1,3,2,0,0,0
89,104,1,2,3,0,0,0
90,105.333333,1,4,3,0,0,0
91,106.666667,1,5,4,0,1,0
92,106.666667,1,2,1,0,1,0
93,108,1,4,5,0,1,0
94,108,1,1,2,0,1,0
95,109.333333,2,3,2,0,0,0
96,110.666667,2,3,2,0,0,0
97,112,2,3,4,0,0,0
98,113.333333,2,3,4,0,0,0
99,115.833333,1,2,1,0,0,0
100,116.166667,1,3,2,0,0,0
101,116.5,1,5,4,0,0,0
102,116.833333,1,4,5,0,0,0
103,117.166667,1,5,5,0,0,0
104,120,92,,,,0,0
