time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image
0,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,1,0
3.344595,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
14.594595,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
14.797297,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
15,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
15.202703,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
15.405405,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
15.528108,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
18.547297,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
18.952703,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
20.472973,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,1,0
20.97973,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,120,0
24.324324,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
25.033784,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
25.439189,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
25.945946,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
27.567568,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,120,0
28.378378,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
35.675676,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,1,0
36.891892,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
37.5,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
38.513514,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
39.121622,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
40.135135,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
40.743243,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
51.385135,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,1,0
52.195946,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
53.716216,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
54.425676,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
54.628378,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
54.77,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,115,0
55.945946,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
56.756757,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
57.567568,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
58.378378,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
62.432432,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
63.040541,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,120,0
64.054054,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
67.094595,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,1,0
67.601351,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
69.72973,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,1,0
70.236486,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,80,0
70.541892,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
72.162162,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
83.67,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,1,0
89.189189,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
91.621622,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
92.432432,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
93.243243,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
94.054054,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
98.918919,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,200,0
99.324324,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,200,0
99.457027,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
107.128378,Uhoi,5,All1,Orange02,,,,,,,,,,Oioi,148,0
118.378378,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
118.581081,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
118.783784,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
118.986486,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
119.189189,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,250,0
119.290541,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
121.114865,Uhoi,5,All1,Orange02,,,,,,,,,,PPPH,148,0
121.317568,Uhoi,5,All1,Orange02,,,,,,,,,,Pause,1,0
124.864865,Uhoi,5,All1,Orange02,,,,,,,,,,Bye,270,0
