time,lyrics,size
0,,
5.85,Yes! Party time!!,
7.82,,
12.25,Yes! Golden time!!,
13.667,,
16.233,食い気味な気持ち　持て余す Hey! Boys!!,
19.4,Right Now!! 聞かせて　Right Here!! 私に,
22.7,勝負のコスチューム　迷ってる Hey! Girls!!,
25.783,Right Now!! コールして　Right Here!! アイツに,
29.133,良い子を脱ぎ捨て　輝く夜に繰り出そう,
35.417,ネオンの中で泳ぐ　熱帯魚のように,
40.5,今日こそ　いつもより　カラフルに,
45.167,私を照らしてよ,
48.517,まぶしいほど　赤裸々に,
51.633,プリーズ !　プリーズ ! !　レボリューション ! ! !,
54.533,揺らせ ! 激しく Heart Beat,
56.4,君の Emotion,
58.15,さらけ出せたら無敵だね,
61.317,歌おう Singing,
63.017,踊ろう Dancing,
64.75,ここから　ちゃんと見てるよ,
70.45,目と目があった時　始まるのはLove Story??,
77.6,,
83.683,揺らせ ! 激しく Heart Beat,
85.517,君の Emotion,
87.283,さらけ出せたら無敵だね,
90.5,歌おう Singing,
92.1,踊ろう Dancing,
93.95,ここから　ちゃんと見てるよ,
99.55,目と目があった時　始まるのはLove Story??,
106.7,,
109.417,Yes! Party time!!,
111.467,,
115.767,Yes! Golden time!!,
117.35,,
