id,sec,type,startPos,finishPos,status,sync,groupId
1,,100,,,868,0,0
2,0,91,,,0,0,0
3,3.116883117,2,3,3,0,0,0
4,3.311688312,2,3,3,2,0,1
5,3.36038961,1,3,5,2,0,1
6,3.506493506,2,4,4,0,0,0
7,3.701298701,2,4,4,2,0,2
8,3.75,1,4,5,2,0,2
9,3.896103896,1,4,4,1,0,3
10,3.993506494,1,3,3,2,0,3
11,4.042207792,1,3,5,2,0,3
12,4.188311688,2,4,4,0,0,0
13,4.480519481,2,4,4,2,0,4
14,4.529220779,1,4,5,2,0,4
15,4.675324675,2,3,3,0,0,0
16,4.87012987,2,3,3,2,0,5
17,4.918831169,1,3,5,2,0,5
18,5.064935065,2,4,4,0,0,0
19,5.25974026,2,4,4,2,0,6
20,5.308441558,1,4,5,2,0,6
21,5.454545455,1,4,4,1,0,7
22,5.551948052,1,3,3,2,0,7
23,5.600649351,1,3,5,2,0,7
24,5.746753247,2,4,4,0,0,0
25,6.038961039,2,4,4,2,0,8
26,6.087662338,1,4,5,2,0,8
27,6.233766234,2,3,3,0,0,0
28,6.428571429,2,3,3,2,0,9
29,6.477272727,1,3,5,2,0,9
30,6.623376623,2,4,4,0,0,0
31,6.818181818,2,4,4,2,0,10
32,6.866883117,1,4,5,2,0,10
33,7.012987013,1,4,4,1,0,11
34,7.11038961,1,3,3,2,0,11
35,7.159090909,1,3,5,2,0,11
36,7.305194805,2,4,4,0,0,0
37,7.597402597,2,4,4,2,0,12
38,7.646103896,1,4,5,2,0,12
39,7.792207792,2,3,3,0,0,0
40,7.987012987,2,3,3,2,0,13
41,8.035714286,1,3,5,2,0,13
42,8.181818182,2,4,4,0,0,0
43,8.376623377,2,4,4,2,0,14
44,8.425324675,1,4,5,2,0,14
45,8.571428571,1,4,4,1,1,15
46,8.571428571,1,1,1,0,1,0
47,8.668831169,1,3,3,2,1,15
48,8.668831169,1,1,1,0,1,0
49,8.717532468,1,3,5,2,0,15
50,8.961038961,1,4,4,1,1,16
51,8.961038961,1,1,1,0,1,0
52,9.058441558,1,3,3,2,1,16
53,9.058441558,1,1,1,0,1,0
54,9.107142857,1,3,5,2,0,16
55,9.155844156,3,1,2,0,0,17
56,9.350649351,2,3,3,0,1,0
57,9.350649351,3,2,1,0,1,17
58,9.545454545,2,3,3,2,0,18
59,9.594155844,1,3,5,2,0,18
60,9.74025974,2,4,4,0,0,0
61,9.935064935,2,4,4,2,0,19
62,9.983766234,1,4,5,2,0,19
63,10.12987013,1,4,4,1,0,20
64,10.22727273,1,3,3,2,0,20
65,10.27597403,1,3,5,2,0,20
66,10.42207792,2,4,4,0,0,0
67,10.71428571,2,4,4,2,0,21
68,10.76298701,1,4,5,2,0,21
69,10.90909091,2,3,3,0,0,0
70,11.1038961,2,3,3,2,0,22
71,11.1525974,1,3,5,2,0,22
72,11.2987013,2,4,4,0,0,0
73,11.49350649,2,4,4,2,0,23
74,11.54220779,1,4,5,2,0,23
75,11.68831169,1,4,4,1,0,24
76,11.78571429,1,3,3,2,0,24
77,11.83441558,1,3,5,2,0,24
78,11.98051948,2,4,4,0,0,0
79,12.27272727,2,4,4,2,1,25
80,12.27272727,3,2,2,1,1,17
81,12.32142857,1,4,5,2,0,25
82,12.46753247,2,3,3,0,1,0
83,12.46753247,3,2,1,0,1,163
84,12.66233766,2,3,3,2,0,26
85,12.71103896,1,3,5,2,0,26
86,12.85714286,2,4,4,0,0,0
87,13.05194805,2,4,4,2,0,27
88,13.10064935,1,4,5,2,0,27
89,13.24675325,1,4,4,1,0,28
90,13.34415584,1,3,3,2,0,28
91,13.39285714,1,3,5,2,0,28
92,13.53896104,2,4,4,0,0,0
93,13.83116883,2,4,4,2,1,29
94,13.83116883,3,2,2,1,1,163
95,13.87987013,1,4,5,2,0,29
96,14.02597403,1,5,3,1,1,30
97,14.02597403,1,1,4,0,1,0
98,14.07467532,1,5,2,1,0,30
99,14.31818182,1,5,3,1,1,31
100,14.31818182,1,1,4,0,1,0
101,14.36688312,1,5,2,1,0,31
102,14.61038961,1,5,3,1,1,32
103,14.61038961,1,1,4,0,1,0
104,14.65909091,1,5,2,1,0,32
105,15.58441558,2,4,4,0,1,0
106,15.58441558,1,1,1,0,1,0
107,15.97402597,1,1,1,0,0,0
