time,lyrics,size
0,,
11.83 ,今日も めいっぱい頑張る やっほー☆,
14.94 ,燃え尽きるくらい テンションはＭＡＸ 当然でしょ !,
21.84 ,えへへ☆ いつだってどこだって,
24.55 ,カワイクて楽しいのが最高だもん はしゃいじゃお !,
31.86 ,みんなでもっと ハピハピするの☆,
37.50 ,世界中まるごとにぃ !,
42.50 ,目指す場所？ はトップでしょ !,
44.95 ,ステキ模様♪ 大好きだよ !,
47.33 ,おっすおっすばっちし !,
49.83 ,LET'S GO HAPPY!!,
51.83 ,輝いてぜったい だってぜったい 元気百倍の 未来へ !,
57.18 ,手をふって 声に出して 一緒だから 大丈夫 !,
62.131,もっとちょうだい ぜんぶちょうだい 嬉しくなって 跳ねちゃえ !,
67.122,無限大 どんなもんだい 笑顔でしょ 大丈夫 !,
72.481,,
83.095,輝いてぜったい だってぜったい 元気百倍の 未来へ !,
88.411,手をふって 声に出して 一緒だから 大丈夫 !,
93.359,もっとちょうだい ぜんぶちょうだい 嬉しくなって 跳ねちゃえ !,
98.401,無限大 どんなもんだい 笑顔でしょ 大丈夫 !,
103.407,夢は まだまだ 途中よ,
107.517,しあわせな明日へ,
113.733,,
