id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,703,0,0
2,0,91,0,0,0,0,0
3,2.34375,1,3,3,0,0,0
4,2.65625,1,2,2,0,0,0
5,2.8125,1,1,1,0,0,0
6,2.96875,1,2,2,0,0,0
7,3.125,1,3,3,0,0,0
8,3.28125,1,4,4,2,0,1
9,3.4375,1,5,5,1,0,1
10,3.515625,1,4,4,1,0,1
11,3.59375,1,2,2,0,0,0
12,3.90625,1,2,2,0,0,0
13,4.0625,1,1,1,0,0,0
14,4.21875,1,2,2,0,0,0
15,4.375,1,3,3,0,0,0
16,4.53125,1,4,4,2,0,2
17,4.6875,1,5,5,1,0,2
18,4.765625,1,4,4,1,0,2
19,4.84375,1,1,1,0,0,0
20,5.15625,1,1,1,0,0,0
21,5.3125,1,2,2,0,0,0
22,5.46875,1,4,4,0,0,0
23,5.625,1,3,3,0,0,0
24,5.9375,1,1,1,0,0,0
25,6.09375,1,5,5,0,0,0
26,6.25,1,4,4,2,0,3
27,6.328125,1,5,5,2,0,3
28,6.5625,1,2,2,1,0,4
29,6.640625,1,1,1,1,0,4
30,6.875,1,4,4,2,0,5
31,6.953125,1,5,5,2,0,5
32,7.1875,1,2,2,1,0,6
33,7.265625,1,1,1,1,0,6
34,7.34375,1,4,4,0,0,0
35,7.65625,1,2,2,0,0,0
36,7.8125,1,1,1,0,0,0
37,7.96875,1,2,2,0,0,0
38,8.125,1,3,3,0,0,0
39,8.28125,1,4,4,2,0,7
40,8.4375,1,5,5,1,0,7
41,8.515625,1,4,4,1,0,7
42,8.59375,1,2,2,0,0,0
43,8.90625,1,5,5,0,0,0
44,9.0625,1,4,4,0,0,0
45,9.21875,1,3,3,0,0,0
46,9.375,1,4,4,0,0,0
47,9.53125,1,2,2,1,0,8
48,9.6875,1,1,1,2,0,8
49,9.765625,1,2,2,2,0,8
50,9.84375,1,4,4,0,0,0
51,10,1,1,1,0,1,0
52,10,1,5,5,0,1,0
53,10.15625,1,2,2,0,0,0
54,10.3125,1,3,3,0,0,0
55,10.46875,1,4,4,0,0,0
56,10.625,1,1,1,0,1,0
57,10.625,1,5,5,0,1,0
58,10.78125,1,4,4,0,0,0
59,10.9375,1,3,3,0,0,0
