time,lyrics,size
0,,
29.94 ,どきどき 恋しちゃったの スキスキご主人様 ルン,
33.85 ,セルロイド眼鏡がラブリー,
37.04 ,家政婦 地味ドロイドが 恋してるなんてバカな,
40.97 ,あなたは たぶん 気づかない,
44.14 ,きゅんときた瞬間に 何かはじまったの,
47.70 ,ポンコツなあたし もうすぐはじけそうよ,
51.21 ,ギュイーン,
54.82 ,むずむずむずむず どきどき,
59.30 ,はだかになっちゃおっかな (なっちゃえ ! ),
62.93 ,ハートみせちゃおっかな (みせちゃえ ! ),
66.41 ,生まれたてのジュエルはピンク,
70.39 ,回路はとっくにショートしたの (パーン ! ),
73.971,ニンゲンになっちゃったかも？ (びっくり ! ),
77.099,ミラクル来るってこんなの？ (ちゅるるるるるる),
81.755,今日からやっかいな恋する女の子なんです,
87.219,じゃんじゃん,
88.816,,
91.304,はだかになっちゃだめだよね (だめだめ ! ),
94.869,ハートみせちゃグロいよね (ちゅるるるるるる),
99.504,今日から不条理でキュートな女の子なんです,
104.944,じゃんじゃん,
106.618,女の子なんです,
108.537,じゃんじゃん,
109.451,じゃんじゃん,
111.294,じゃん,
112.817,,
