0.03333,MOT_mc_bg_black_00,seat100-0,,
2.5997399999999997,1,j1-4,,
2.5997399999999997,2,j1-4,,
2.5997399999999997,3,j1-4,,
2.5997399999999997,4,j1-4,,
2.5997399999999997,5,j1-4,,
2.73306,MOT_mc_speaker_00,temp3,,
2.73306,MOT_mc_light_up_00,l1,,
2.73306,MOT_mc_light_center_00,l2,,
2.73306,MOT_mc_light_under_00,l1,,
5.26614,1,j4-2,,
5.26614,2,j4-2,,
5.26614,3,j4-2,,
5.26614,4,j4-2,,
5.26614,5,j4-2,,
6.79932,4,2-3,,b-1
6.79932,5,2-3,,b-1
7.26594,2,2-3,,
7.26594,3,2-3,,
7.49925,1,2-3,,f1
7.8325499999999995,1,hj3,,
7.8325499999999995,2,hj3,,
7.8325499999999995,3,hj3,,
7.8325499999999995,4,hj3,,
7.8325499999999995,5,hj3,,
7.9992,MOT_mc_stage_color_00,y-flash,,
7.9992,MOT_mc_bg_black_00,b80-65,,
7.9992,MOT_mc_light_up_00,l2,,
7.9992,MOT_mc_light_under_00,l2,,
8.29917,4,j3-2,,
8.365829999999999,4,,r1,
8.365829999999999,2,j3-2,,
8.43249,2,,r1,
8.43249,1,j3-2,,
8.49915,1,,r1,
8.49915,3,j3-2,,
8.53248,5,j3-2,,
8.53248,3,,r1,
8.59914,5,,r1,
9.26574,1,w2,,
9.26574,2,w2,,
9.26574,3,w2,,
9.26574,4,w2,,
9.26574,5,w2,,
9.43239,4,2-3,,
9.49905,2,2-3,,
9.56571,1,2-3,,
9.63237,3,2-3,,
9.699029999999999,5,2-3,,
10.46562,1,sj3,,
10.46562,2,sj3,,
10.46562,3,sj3,,
10.46562,4,sj3,,
10.46562,5,sj3,,
11.198879999999999,5,j3-4,,
11.26554,5,,rb0,
11.26554,3,j3-4,,
11.3322,3,,rb0,
11.3322,1,j3-4,,
11.398859999999999,1,,rb0,
11.398859999999999,2,j3-4,,
11.46552,2,,rb0,
11.46552,4,j3-4,,
11.53218,4,,rb0,
12.132119999999999,1,w4,,
12.132119999999999,2,w4,,
12.132119999999999,3,w4,,
12.132119999999999,4,w4,,
12.132119999999999,5,w4,,
12.432089999999999,5,4-1,,
12.49875,3,4-1,,
12.56541,1,4-1,,
12.632069999999999,2,4-1,,
12.69873,4,4-1,,
13.36533,1,sj1,,
13.36533,2,sj1,,
13.36533,3,sj1,,
13.36533,4,sj1,,
13.36533,5,sj1,,
14.03193,1,1-2,,
14.39856,1,hj2,,
14.39856,2,1-2,,
14.39856,3,1-2,,
14.39856,4,1-2,,
14.39856,5,1-2,,
15.09849,1,hj2,,
15.09849,2,2-3,,
15.09849,3,2-3,,
15.09849,4,2-3,,
15.09849,5,2-3,,
15.83175,1,hj2,,
15.83175,2,3-4,,
15.83175,3,3-4,,
15.83175,4,3-4,,
15.83175,5,3-4,,
16.49835,1,hj2,,
16.49835,2,4-1,,
16.49835,3,4-1,,
16.49835,4,4-1,,
16.49835,5,4-1,,
17.19828,1,hj2,,
17.19828,2,1-2,,
17.19828,3,1-2,,
17.19828,4,1-2,,
17.19828,5,1-2,,
17.93154,1,hj2,,
17.93154,2,2-3,,
17.93154,3,2-3,,
17.93154,4,2-3,,
17.93154,5,2-3,,
18.63147,1,hj2,,
18.63147,2,3-4,,
18.63147,3,3-4,,
18.63147,4,3-4,,
18.63147,5,3-4,,
19.3314,1,hj2,,
19.3314,2,4-1,,
19.3314,3,4-1,,
19.3314,4,4-1,,
19.3314,5,4-1,,
19.764689999999998,1,2-1,,
19.764689999999998,2,w1,,
19.764689999999998,3,w1,,
19.764689999999998,4,w1,,
19.764689999999998,5,w1,,
20.164649999999998,1,lp1,,
21.89781,1,1-3,,
22.26444,1,lp3,,
22.86438,1,3-4,,
24.064259999999997,1,sj4,,
24.56421,1,sj4,,
25.36413,1,4-2,,
25.83075,1,sp2-3,,
26.297369999999997,1,,,f2
26.76399,1,j3-4,,
27.63057,1,j4-2,,
28.63047,1,sj2,,
29.130419999999997,1,2-3,,
30.26364,1,sj3,,
31.06356,1,3-4,,b1
31.43019,2,1-4,,
31.43019,3,1-4,,
31.43019,4,1-4,,f0
31.43019,5,1-4,,f0
32.03013,1,4-2,,
32.03013,2,4-2,,
32.03013,3,4-2,,
32.03013,4,4-2,,
32.03013,5,4-2,,
32.43009,1,lp2,,
32.43009,2,lp2,,
32.43009,3,lp2,,
32.43009,4,lp2,,
32.43009,5,lp2,,
32.663399999999996,1,,l1,
32.663399999999996,2,,l1,
32.663399999999996,3,,l1,
32.663399999999996,4,,l1,
32.663399999999996,5,,l1,
33.03003,1,,l2,
33.03003,2,,l2,
33.03003,3,,l2,
33.03003,4,,l2,
33.03003,5,,l2,
33.39666,1,,l3,
33.39666,2,,l3,
33.39666,3,,l3,
33.39666,4,,l3,
33.39666,5,,l3,
33.76329,1,,l4,
33.76329,2,,l4,
33.76329,3,,l4,
33.76329,4,,l4,
33.76329,5,,l4,
34.06326,1,2-3,,
34.39656,2,2-3,,
34.39656,3,2-3,,
