time,lyrics,size
0,,
7.9,「バキューン ! 」,
8.845,,
19.983,嘘ついたら無期懲役 覚悟を決めておいてね,
25.383,ホラまだまだイケてるでしょ？夢を見るのに時効はないわ,
31.35,人生 たった一度よ？うんと 楽しまなくっちゃ,
36.95,今宵 踊り明かすの オトナの魅力で おーるないとろんぐ !,
42.767,Can't Stop Loving 一斉検挙よっ 黒帯しめてHold Up,
48.5,Bang! Bomb! Body 弾けそうに たわわなキモチあげる,
54.083,Don Don 盛り上がっていこっ Gun Gun 頑張っちゃう,
59.833,Fu Fu よいこらしょっと…さあ ! テンション上げて ついてきて C'mon!,
66.95,,
78.567,気合いマンタン 自由なココロでもって,
83.617,愛のパトロール 高鳴りを抱きしめたまま…,
89.85,Can't Stop Loving 一斉検挙よっ 黒帯しめてHold Up,
95.7,Bang! Bomb! Body 弾けそうに たわわなキモチあげる,
101.317,Don Don 盛り上がっていこっ Gun Gun 頑張っちゃう,
106.967,Fu Fu よいこらしょっと…さあ ! テンション上げて ついてきて C'mon!,
114.067,L・O・V・E ! あい・らぶ・びあー,
117.117,わっしょいわっしょい 一緒に ぷはー,
119.817,まだまだ ここからっ Let's Go!,
122.683,わっしょいわっしょい 一緒に ずきゅーん !,
125.667,,
126.067,「タイホしちゃうぞ ! 」,
127.35,,
