time,lyrics,size
0,,
3.297,my secret eau de toilette…,
13.15,,
16.78,バスタブに獣脂（じゅうし）満たし 裸でつかれば,
23.25,あたしをあたしたらしめるもの滴る,
29.72,Chu Chu Chu… 人体実験Chu♡,
36.85,飽和したらアルコール 溶かして撹拌,
43.48,残留物は恥辱的なほどあたし,
49.58,君をたぶらかす香りに投与して,
56.3,さぁさ magical show の幕があがる タラーンタラーン,
63.6,麝香に隠した秘密の分子,
67.1,気が遠くなるほど吸って,
73.7,君はあたしに夢中になる,
78.72,my secret eau de toilette,
80.63,La La love potion 脳下垂体へ届け,
85.3,瞳孔が開くその瞬間を見せて,
91.93,my secret eau de toilette,
93.85,じきに君は falling love の兆しみせる,
98.65,恋は化学式 君には きっと狂気の沙汰（crazy things）,
105.28,my secret eau de toilette…,
117.217,,
