time,lyrics,size
0,,
15.45,通学路 定刻通りの 朝8時,
22.917,「おはよう」って あなたに向かって 言えなくて,
30.717,遠目で見てる あなたの背中 いつもの 笑顔見せて,
41.433,今はただ それが ほしいから,
47.817,私だけの あなたへ step up!,
51.733,いつも みているわ,
55.15,言葉だけじゃ たぶん 伝えきれないから,
63.133,あなただけの 私を pop up!,
66.85,トクベツにあげる。,
70.267,だから oh my...Darling☆Darling☆I love you...,
77.917,,
81.733,私だけの あなたへ step up!,
85.85,いつも みているわ,
89.15,言葉だけじゃ たぶん 伝えきれないから,
97.083,ほんとうの 私が get up!,
100.867,いまに みていてね,
104.283,いつか oh! i...get you★get you★Future day...,
111.917,だから oh my...Darling☆Darling☆I love you...,
119.683,,
