time,lyrics,size
0,,
2.517,雨上がりの窓を　開け放して深呼吸,
7.767,通り抜ける風は　リラの香りがする,
15.5,,
23.617,予定の無い Holiday,
26.283,スマホも電源off に,
28.933,寝癖もスッピンも気にしないから,
34.217,いそがしくて楽しい毎日,
39.633,だけどちょっと窮屈だった,
45.033,ザワザワしてる　トゲトゲしてた心をゆるめて,
55.533,ミントティーにビスケット,
58.183,どんなときも私らしく smiling 過ごしたいな,
63.45,梢からは木漏れ日エメラルドGarden,
68.783,こんな時間大切だね　一人のtea break,
74.183,いつのまにか気持ちリニューアル,
79.417,私が私でいるための lilac time,
87.1,,
89.683,リコッタチーズパンケーキ,
92.583,どんなときも私らしく smiling 過ごしたいな,
97.933,眩しい日差し花びら染めるガーネットGarden,
103.217,こんな時間大切だね　一人のtea break,
108.483,いつのまにか気持ちリニューアル,
113.983,私が私でいるための lilac time,
121.8,,
