0.03333,MOT_mc_bg_black_00,stay,,
0.03333,MOT_mc_stage_color_00,b,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
2.46642,MOT_all,cut1,,
3.09969,MOT_mc_bg_black_00,b80-65,,
3.4329899999999998,1,1-2,,
3.4329899999999998,2,1-2,,
3.4329899999999998,3,1-2,,
3.79962,1,w2,,
3.79962,2,w2,,
3.79962,3,w2,,
4.83285,2,2-4,,
5.199479999999999,2,w4,,
6.066059999999999,3,2-4,,
6.43269,3,w4,,
7.132619999999999,1,2-4,,
7.49925,1,w4,,
8.065859999999999,2,,l1,
8.3325,2,,l2,
8.59914,1,,l1,
8.83245,1,,l2,
9.06576,3,,l1,
9.3324,3,,l2,
9.799019999999999,3,,lb1,
10.03233,3,,lb0,
10.03233,1,,lb1,
10.26564,3,,r1,
10.26564,1,,lb0,
10.498949999999999,1,,r1,
10.498949999999999,2,,lb1,
10.73226,2,,lb0,
10.998899999999999,2,,r1,
11.73216,1,4-3,,
11.73216,2,4-3,,
11.73216,3,4-3,,
12.132119999999999,1,w3,,
12.132119999999999,2,w3,,
12.132119999999999,3,w3,,
14.265239999999999,2,,rb0,
14.43189,1,,rb0,
14.565209999999999,3,,rb0,
15.29847,2,3-2,,
15.53178,3,3-2,,
15.765089999999999,1,3-2,,
16.03173,1,w2,,
16.03173,2,w2,,
16.03173,3,w2,,
16.531679999999998,1,2-1,,
16.531679999999998,2,2-1,,
16.531679999999998,3,2-1,,
16.59834,MOT_control_all,cut01,,
16.59834,MOT_mc_bg_black_00,b65-45,,
16.59834,MOT_all,cut2,,
16.86498,1,lp1,,
16.86498,2,lp1,,
16.86498,3,lp1,,
17.49825,2,,l1,
17.86488,3,,r1,
18.06486,1,sp2-3,,
18.39816,3,sp2-3,,
18.764789999999998,2,sp2-3,,
19.364729999999998,1,sj2,,
19.564709999999998,3,sj2,,
19.764689999999998,2,sj2,,
19.764689999999998,1,w2,,
20.03133,1,lp2,,
20.03133,2,lp2,,
20.03133,3,lp2,,
20.6646,1,2-1,,
21.03123,3,2-1,,
21.03123,1,w1,,
21.397859999999998,2,2-1,,
21.397859999999998,3,w1,,
21.797819999999998,1,lp1,,
21.797819999999998,2,lp1,,
21.797819999999998,3,lp1,,
22.36443,3,,r2,
22.631069999999998,2,,l2,
22.93104,3,,r3,
23.231009999999998,2,,l3,
23.53098,1,1-2,,
23.89761,2,1-2,,
24.264239999999997,3,1-2,,
24.664199999999997,1,lp2,,
24.664199999999997,2,lp2,,
24.664199999999997,3,lp2,,
26.097389999999997,1,j2-1,,
26.097389999999997,2,j2-1,,
26.097389999999997,3,j2-1,,
26.53068,MOT_all,cut3,,
26.663999999999998,2,sj1,,
26.83065,1,sj1,,
26.9973,3,sj1,,
26.9973,2,w1,,
27.13062,MOT_control_all,cut02,,
27.463919999999998,1,lp1,,
27.463919999999998,2,lp1,,
27.463919999999998,3,lp1,,
28.19718,3,j1-3,,
28.59714,2,j1-3,,
28.59714,3,w3,,
28.9971,1,j1-3,,
28.9971,2,w3,,
29.39706,1,w3,,
29.39706,2,w3,,
29.39706,3,w3,,
29.86368,MOT_mc_bg_black_00,b45-45,,
30.06366,1,3-1,,
30.06366,2,3-1,,
30.06366,3,3-1,,
30.39696,1,w1,,
30.39696,2,w1,,
30.39696,3,w1,,
30.763589999999997,1,j1-2,,
31.19688,3,j1-2,,
31.19688,1,w2,,
31.63017,2,j1-2,,
31.63017,3,w2,,
32.06346,2,w2,,
32.663399999999996,1,2-1,,
32.663399999999996,2,2-1,,
32.663399999999996,3,2-1,,
32.9967,1,w1,,
32.9967,2,w1,,
32.9967,3,w1,,
33.52998,2,,l4,
33.52998,1,,l1,
33.52998,3,,rb2,
34.12992,2,,lb3,
34.12992,1,,lb0,
34.12992,3,,r3,
34.52988,1,1-3,,
34.52988,2,1-3,,
34.52988,3,1-3,,
34.82985,1,w3,,
34.82985,2,w3,,
34.82985,3,w3,,
34.86318,2,,lb2,
34.86318,1,,r1,
34.86318,3,,r4,
35.29647,2,,l3,
35.29647,1,,rb0,
35.29647,3,,rb3,
35.69643,2,,lb2,
35.69643,3,,rb2,
35.96307,2,,lb1,
35.96307,3,,rb1,
36.22971,2,,lb0,
36.22971,3,,rb0,
36.46302,1,sj3,,
36.46302,2,sj3,,
36.46302,3,sj3,,
36.762989999999995,1,sj3,,
36.762989999999995,2,sj3,,
36.762989999999995,3,sj3,,
37.096289999999996,1,3-4,,
37.096289999999996,2,3-4,,
37.096289999999996,3,3-4,,
37.46292,1,sj4,,
37.46292,2,sj4,,
37.46292,3,sj4,,
37.76289,1,sj4,,
37.76289,2,sj4,,
37.76289,3,sj4,,
38.06286,1,w4,,
38.06286,2,w4,,
38.06286,3,w4,,
38.46282,1,,r1,
38.46282,3,,r1,
38.729459999999996,1,,r2,
38.729459999999996,3,,r2,
38.89611,2,,l1,
38.92944,MOT_control_all,cut_c2_in,,
38.92944,MOT_mc_stage_color_00,b-pk,,
38.9961,1,,r3,
38.9961,3,,r3,
39.196079999999995,2,,l2,
39.49605,2,,l3,
39.76269,2,,l4,
39.995999999999995,2,,l5,
40.86258,2,4-3,,
41.162549999999996,2,w3,,
42.06246,2,,lb4,
42.362429999999996,2,,lb3,
42.69573,2,,lb2,
42.9957,2,,lb1,
43.29567,2,,lb0,
44.49555,2,sp3-4,,
44.828849999999996,2,,r1,
45.09549,2,,r2,
47.09529,2,sj4,,
47.42859,2,w4,,
48.29517,2,sp3-4,rb1,
48.59514,2,,rb0,
48.82845,2,,l1,
49.02843,2,,l2,
49.22841,2,,l3,
49.261739999999996,MOT_all,cut4,,
49.46172,1,,rb1,
49.46172,2,,l4,
49.661699999999996,1,,rb0,
49.661699999999996,2,j3-1,,
49.86168,1,,l1,
50.061659999999996,1,,l2,
50.061659999999996,2,w1,,
50.19498,MOT_control_all,cut_c2_out,,
50.19498,MOT_mc_stage_color_00,pk-or,,
50.26164,1,,l3,
50.461619999999996,1,,l4,
50.69493,1,,l5,
50.69493,3,4-2,,
51.16155,3,w2,,
51.49485,3,,r4,
51.794819999999994,3,,r5,
52.29477,3,sp2-3,,
52.961369999999995,3,sj2,,
53.294669999999996,3,lp2,,
53.52798,3,2-3,,
53.86128,3,lp3,,
54.6612,3,sp3-4,,
55.361129999999996,3,j4-1,,
55.761089999999996,3,lp1,,
56.29437,3,1-2,rb4,
56.79432,3,lp2,,
57.72756,3,,rb3,
58.06086,3,,rb2,
58.09419,MOT_control_all,cut_nobu_in,,
58.3275,3,,rb1,
58.76079,MOT_all,cut5,,
58.82745,3,j2-1,,
59.19408,MOT_all,cut6,,
59.3274,3,lp1,,
60.660599999999995,1,,lb4,
60.96057,1,,lb3,
61.29387,1,,lb2,
61.62717,1,,lb1,
61.62717,3,,r2,
61.860479999999995,MOT_control_all,cut03,,
61.860479999999995,MOT_mc_stage_color_00,or-b,,
61.927139999999994,1,,lb0,
62.46042,3,w1,,
62.693729999999995,MOT_all,cut7,,
62.693729999999995,1,1-2,l1,
62.92704,1,,l2,
63.127019999999995,1,lp2,,
63.76029,1,,lb1,
64.02693,1,,lb0,
64.3269,1,sp2-3,,
64.9935,1,sj3,,
65.32679999999999,1,lp3,,
