0.03333,MOT_mc_bg_black_00,seat100-0,,
1.49985,1,1-2,,
1.49985,2,1-2,,
1.49985,3,1-2,,
1.49985,4,1-2,,
1.49985,5,1-2,,
1.49985,MOT_mc_stage_color_00,b,,
1.49985,MOT_mc_light_up_00,l1,,
1.49985,MOT_mc_light_under_00,l1,,
1.49985,MOT_mc_speaker_00,temp1,,
1.6664999999999999,MOT_mc_stage_color_00,b-flash,,
1.9998,1,w2,,
1.9998,2,w2,,
1.9998,3,w2,,
1.9998,4,w2,,
1.9998,5,w2,,
4.16625,1,2-3,,
4.16625,2,2-3,,
4.16625,3,2-3,,
4.16625,4,2-3,,
4.16625,5,2-3,,
4.3328999999999995,MOT_mc_stage_color_00,b-flash,,
4.6662,1,w3,,
4.6662,2,w3,,
4.6662,3,w3,,
4.6662,4,w3,,
4.6662,5,w3,,
6.6659999999999995,1,3-4,,
6.6659999999999995,2,3-4,,
6.6659999999999995,3,3-4,,
6.6659999999999995,4,3-4,,
6.6659999999999995,5,3-4,,
6.6659999999999995,MOT_mc_stage_color_00,b-flash,,
6.9993,1,4-1,,
6.9993,2,4-1,,
6.9993,3,4-1,,
6.9993,4,4-1,,
6.9993,5,4-1,,
7.332599999999999,1,w1,,
7.332599999999999,2,w1,,
7.332599999999999,3,w1,,
7.332599999999999,4,w1,,
7.332599999999999,5,w1,,
7.6659,1,,l1,
7.6659,2,,l1,
7.6659,3,,l1,
7.6659,4,,l1,
7.6659,5,,l1,
7.9992,1,,lb0,
7.9992,2,,lb0,
7.9992,3,,lb0,
7.9992,4,,lb0,
7.9992,5,,lb0,
8.3325,1,,r1,
8.3325,2,,r1,
8.3325,3,,r1,
8.3325,4,,r1,
8.3325,5,,r1,
8.665799999999999,1,,rb0,
8.665799999999999,2,,rb0,
8.665799999999999,3,,rb0,
8.665799999999999,4,,rb0,
8.665799999999999,5,,rb0,
8.9991,1,1-2,,
8.9991,2,1-2,,
8.9991,3,1-2,,
8.9991,4,1-2,,
8.9991,5,1-2,,
9.3324,1,2-3,,
9.3324,2,2-3,,
9.3324,3,2-3,,
9.3324,4,2-3,,
9.3324,5,2-3,,
9.6657,1,,,f1
9.6657,2,,,f1
9.6657,3,,,f1
9.6657,4,,,f1
9.6657,5,,,f1
9.83235,MOT_mc_stage_color_00,b-r,,
9.83235,MOT_mc_light_center_00,l1,,
9.83235,MOT_mc_light_under_00,l1,,
9.998999999999999,1,,,f2
9.998999999999999,2,,,f2
9.998999999999999,3,,,f2
9.998999999999999,4,,,f2
9.998999999999999,5,,,f2
10.3323,1,w3,,
10.3323,2,w3,,
10.3323,3,w3,,
10.3323,4,w3,,
10.3323,5,w3,,
10.3323,MOT_mc_stage_color_00,r-y,,
10.83225,MOT_mc_stage_color_00,y-b,,
12.16545,1,sj3,,
12.16545,2,sj3,,
12.16545,3,sj3,,
12.16545,4,sj3,,
12.16545,5,sj3,,
12.49875,1,hj3,,
12.49875,2,hj3,,
12.49875,3,hj3,,
12.49875,4,hj3,,
12.49875,5,hj3,,
12.49875,MOT_mc_bg_black_00,b80-65,,
12.49875,MOT_mc_stage_color_00,b-flash,,
12.49875,MOT_mc_light_up_00,l2,,
12.49875,MOT_mc_speaker_00,temp2,,
12.9987,1,w3,,
12.9987,2,w3,,
12.9987,3,w3,,
12.9987,4,w3,,
12.9987,5,w3,,
12.9987,MOT_mc_stage_color_00,b-flash,,
13.331999999999999,1,,l1,
13.331999999999999,2,,l1,
13.331999999999999,3,,l1,
13.331999999999999,4,,l1,
13.331999999999999,5,,l1,
13.6653,1,,l2,
13.6653,2,,l2,
13.6653,3,,l2,
13.6653,4,,l2,
13.6653,5,,l2,
13.9986,1,,l3,
13.9986,2,,l3,
13.9986,3,,l3,
13.9986,4,,l3,
13.9986,5,,l3,
14.3319,1,,l4,
14.3319,2,,l4,
14.3319,3,,l4,
14.3319,4,,l4,
14.3319,5,,l4,
14.665199999999999,1,3-4,,
14.665199999999999,2,3-4,,
14.665199999999999,3,3-4,,
14.665199999999999,4,3-4,,
14.665199999999999,5,3-4,,
14.9985,1,4-1,,
14.9985,2,4-1,,
14.9985,3,4-1,,
14.9985,4,4-1,,
14.9985,5,4-1,,
15.3318,1,hj1,,
15.3318,2,hj1,,
15.3318,3,hj1,,
15.3318,4,hj1,,
15.3318,5,hj1,,
15.83175,1,w1,,
15.83175,2,w1,,
15.83175,3,w1,,
15.83175,4,w1,,
15.83175,5,w1,,
16.16505,1,,lb3,
16.16505,2,,lb3,
16.16505,3,,lb3,
16.16505,4,,lb3,
16.16505,5,,lb3,
16.49835,1,,lb2,
16.49835,2,,lb2,
16.49835,3,,lb2,
16.49835,4,,lb2,
16.49835,5,,lb2,
16.83165,1,,lb1,
16.83165,2,,lb1,
16.83165,3,,lb1,
16.83165,4,,lb1,
16.83165,5,,lb1,
17.164949999999997,1,,lb0,
17.164949999999997,2,,lb0,
17.164949999999997,3,,lb0,
17.164949999999997,4,,lb0,
17.164949999999997,5,,lb0,
17.49825,1,,r1,
17.49825,2,,r1,
17.49825,3,,r1,
17.49825,4,,r1,
17.49825,5,,r1,
