time,lyrics,size
0,,
7.967,カワイクピース　カワイクキス　カワイクミス,
12.783,mellow mellow girls!,
15.283,目指すゴールは　メマイしそうなdate?,
18.818,make my day!,
21.333,,
21.95,『画面の中の女の子、カワイすぎ大問題』です,
29.167,緊急集合 !  輪っかになって作戦会議です,
36.383,鏡の中の自分が「変わりたい ! 」そう言ってるから,
43.617,あの手この手で　リノベーション　さあ !,
50.2,（がんばって ! ） 折れちゃうリップ？,
52.033,（がんばって ! ） リサイタルドレス？,
53.933,（がんばって ! ） とりあえずドーナツ？,
57.417,（がんばった ! ）できたてのカワイイ♪,
60.983,自信もって　きっと街中がランウェイ,
67.967,ああ　オシャレをしたから会いたいな,
71.883,最初はあの人に見てほしくって,
76.2,リボンぎゅっと　かわいくなーれ !,
82.4,ああ　ちょっぴりまつげが重たいな,
86.2,それなのにお空が明るくなった,
90.517,きっと大丈夫 !,
93.333,リップは晴れ色,
96.917,スキップも軽いよ,
99.9,make my day!,
101.8,カワイクピース　カワイクキス　カワイクミス,
106.483,mellow mellow girls!,
108.75,目線上げて　めちゃcute smile!,
112.483,make my day!,
115.65,,
