time,lyrics,size
0.00 ,,
20.55 ,雨あがり　虹の街　あなたに会いにきた　{あれれ？},
26.533 ,どしちゃったの？　暗い顔　なんとかしてあげたい !,
32.183 ,溜め息の　CO2は　{そうだよ},
38.00 ,太陽浴びて　スマイル光合成,
43.44 ,笑ったあなた　ひまわりの花,
46.333 ,眩しすぎだよ　フォーリンラヴ !,
49.217 ,ドキドキ {Fu Fu}　止まらない {Fu Fu},
52.323 ,恋をした副作用,
55.083 ,笑った顔が　大好きだから,
58.057 ,輝き続けていたいの,
61.417 ,{Shinin'} For you,
62.983 ,{Smilin'} For me,
64.323,{Swingin'} ふたりは,
66.6,ずっとずっと　一緒だよね,
68.157,だってだって　どんな時も,
69.623,ひまわりは太陽と見つめ合うんだもん !,
73.99,,
75.483,何十回でも　何百回でも,
78.367,何千回でも　何万回でも,
81.267,届けたい　この光　あなたの笑顔のために,
89.883,笑ったあなた　会いたすぎて,
92.90,早起きしたよ　グッモーニン !,
95.69,せっかちな {Fu Fu}　サンライズ {Fu Fu},
98.842,夏だから　しょうがない,
101.633,笑った顔が　チャーミングだから,
104.523,煌めきが止まらないみたい,
108.05,{Shinin'} For you,
109.540,{Smilin'} For me,
110.923,{Swingin'} ふたりは,
113.267,きっときっと　いつまでも,
114.733,だってだって　昔から,
116.2226,ひまわりは太陽とカップルなんだもん !,
122.1714,,
