time,lyrics,size
0,,
7.033,「ねぇお花見しよ」,
8.440,じっとしててよ　君の髪にピンクの花びら,
14.417,とってあげる　ほら　ふぅ　ふぅ　ふふっふっ,
20.013,ひらはらり舞い上がる　気持ちも急上昇,
26.000,春風とふぅ　どっちが心地よいの？,
31.207,（パパヤ）まだ風が冷たいね,
34.233,（パパヤ）もうちょいくっつこうよ,
36.857,（パパヤ）うんと浮かれてうんとはしゃいでうっかりアイドルモード ! ,
44.233,お花見しようよ　っておしのびバレてウォンテッド\n（パーリラパリラハイ ! ）,
50.050,お花見しようよ　って見るより見られたいの\n（パーリラパリラハイ ! ）,
56.283,見られて開花イロ色ピンク　まるでサクラ　サクラ咲いた,
61.683,お花見しようよ　ハイ ! アイドルだっていいじゃない？\n（パーリラパリラハイ ! ）,
67.500,お花見しようよ　ハイ ! フジヤマ・ニンジャ・アイドル\n（パーリラパリラハイ ! ）,
73.857,満開スマイル　キラッ　キラッ　キラッ　キラッ　キマッタ !,
79.633,花はいつか散るけど,
85.100,君の心を一瞬でも奪えたなら本望,
91.407,いつか今日の春の日を,
97.007,思い出す時君の胸にパッと,
100.323,サクラが咲きますように,
102.417,お花見しようよ　ハイ ! 花吹雪トルネード\n（パーリラパリラハイ ! ）,
108.233,お花見しようよ　ハイ ! コレガニッポンノハルデス\n（パーリラパリラハイ ! ）,
114.340,見られて開花イロ色ピンク　まるでサクラ　サクラ咲いた,
120.523,満開スマイル　キラッ　キラッ　キラッ　キラッ　キマッタ !,
127.309,,
