time,lyrics,size
0,,
2.59 ,未来に,
3.30 ,響かせて,
5.29 ,勝ち取るの,
6.33 ,この歌で 絶対,
8.05 ,掴め starry star,
12.33 ,,
23.77 ,限界を決めないで,
28.90 ,この右手 誰よりも 高く伸ばし,
34.77 ,立ちはだかる困難は,
39.84 ,神様がくれたチャンス,
42.98 ,恐れないで,
45.74 ,スポットライトに 涙を隠して,
51.16 ,夢を夢で終わらせたくない,
58.42 ,自分だけの旗を掲げ 進め,
64.911,負けたくはない,
66.855,たとえ,
67.677,孤独が滲み始め 足が震えていても,
73.125,遠い日の約束,
75.853,叶えなきゃ,
76.941,掴まなきゃ,
77.949,絶対,
78.661,自由が歪み始め,
81.365,歌の中舞い上がる,
84.133,未来に 響かせて,
86.842,勝ち取るの,
87.973,この歌で,
88.925,絶対,
89.665,,
90.355,言葉が歪み始め,
93.003,イメージが加速する,
95.731,世界に 響かせて,
98.483,勝ち取るの この歌で 絶対,
101.243,光れ starry star,
105.574,,
