0.03333,MOT_mc_bg_black_00,seat100-0,,
2.63307,MOT_mc_bg_black_00,b80-65,,
3.0330299999999997,MOT_mc_stage_color_00,r,,
3.0330299999999997,MOT_speaker_00,temp4,,
3.0330299999999997,MOT_mc_light_under_00,l3,,
3.0330299999999997,2,1-2,,
3.0330299999999997,1,1-2,,
3.0330299999999997,4,1-2,,
3.0330299999999997,3,1-2,,
3.39966,2,w2,,
3.39966,1,w2,,
3.39966,4,w2,,
3.39966,3,w2,,
4.56621,2,2-3,,
4.56621,1,2-3,,
4.56621,4,2-3,,
4.56621,3,2-3,,
4.93284,2,w3,,
4.93284,1,w3,,
4.93284,4,w3,,
4.93284,3,w3,,
6.166049999999999,2,3-4,,
6.166049999999999,1,3-4,,
6.166049999999999,4,3-4,,
6.166049999999999,3,3-4,,
6.49935,2,w4,,
6.49935,1,w4,,
6.49935,4,w4,,
6.49935,3,w4,,
7.732559999999999,2,4-1,,
7.732559999999999,1,4-1,,
7.732559999999999,4,4-1,,
7.732559999999999,3,4-1,,
8.065859999999999,2,w1,,
8.065859999999999,1,w1,,
8.065859999999999,4,w1,,
8.065859999999999,3,w1,,
9.13242,4,1-2,,
9.13242,2,1-2,,f1
9.13242,1,1-2,,
9.13242,3,1-2,,
9.36573,MOT_mc_light_up_00,l3,,
9.36573,MOT_speaker_00,temp1,,
9.49905,4,lp2,,
9.49905,2,w2,,
9.49905,1,lp2,,
9.49905,3,lp2,,
10.6656,2,2-3,r1,
10.998899999999999,2,w3,,
11.76549,2,sp3-4,,
12.36543,4,2-4,,
12.36543,2,4-2,,
12.36543,1,2-4,,
12.36543,3,2-4,,
12.732059999999999,4,lp4,,
12.732059999999999,2,w2,,
12.732059999999999,1,lp4,,
12.732059999999999,3,lp4,,
13.79862,4,j4-1,,f1
13.79862,2,2-1,rb0,
14.165249999999999,2,w1,,
14.165249999999999,4,w1,,
15.465119999999999,4,j1-2,,b0
15.465119999999999,2,j1-2,,b0
15.465119999999999,1,j4-2,,f1
15.465119999999999,3,4-2,,
15.79842,4,lp2,,
15.79842,2,lp2,,
15.79842,1,w2,,
15.79842,3,lp2,,
17.03163,1,2-4,l1,
17.59824,1,4-3,,
18.19818,1,sp3-4,,
18.63147,4,2-1,,
18.63147,2,2-1,,
18.63147,1,3-1,lb0,
18.63147,3,2-1,,
19.06476,1,w1,,
19.06476,2,lp1,,
19.06476,4,lp1,,
19.06476,3,lp1,,
19.3314,1,1-2,,
19.997999999999998,1,2-3,,
20.29797,1,w3,,
20.53128,3,1-2,,f1
20.96457,3,2-3,l1,
21.397859999999998,3,3-4,lb0,
21.76449,4,1-2,,f1
21.76449,2,1-2,,
21.76449,1,3-2,,b0
21.76449,3,4-2,,b0
22.031129999999997,MOT_mc_light_center_00,l2,,
22.16445,4,w2,,
22.16445,2,lp2,,
22.16445,1,lp2,,
22.16445,3,lp2,,
22.6644,MOT_mc_stage_color_00,b-flash,,
23.331,4,2-3,r1,
23.664299999999997,4,w3,,
24.464219999999997,4,sp3-4,,
24.96417,4,3-1,rb0,
24.96417,2,2-1,,
24.96417,1,2-1,,
24.96417,3,2-1,,
25.29747,4,w1,,
25.29747,2,lp1,,
25.29747,1,lp1,,
25.29747,3,lp1,,
25.897409999999997,2,1-3,,f1
26.19738,2,w3,,
26.497349999999997,2,3-2,,
26.497349999999997,4,1-2,,
27.097289999999997,2,2-4,,
27.097289999999997,4,2-4,,
27.39726,2,w4,,
28.06386,2,4-2,,b0
28.06386,1,1-2,,
28.06386,4,4-2,,b0
28.06386,3,1-2,,f1
28.36383,2,lp2,,
28.36383,1,lp2,,
28.36383,4,lp2,,
28.36383,3,w2,,
28.697129999999998,3,2-4,,
29.03043,3,w4,,
29.63037,3,4-3,,
30.163649999999997,3,3-2,,
30.6636,3,2-4,,
31.163549999999997,3,4-1,,
31.46352,3,w1,,
31.9968,3,1-2,,
32.296769999999995,3,w2,,
32.79672,3,2-3,,
33.096689999999995,3,w3,,
33.82995,2,2-1,,
33.82995,1,2-1,,
33.82995,4,2-1,,
33.82995,3,3-1,,b0
34.329899999999995,2,1-4,r1,
34.329899999999995,1,1-4,r1,
34.329899999999995,4,1-4,r1,
34.329899999999995,3,1-4,r1,
34.59654,MOT_mc_bg_black_00,b65-45,,
34.59654,MOT_mc_light_center_00,l1,,
34.663199999999996,2,w4,,
34.663199999999996,1,w4,,
34.663199999999996,4,w4,,
34.663199999999996,3,w4,,
35.129819999999995,2,4-1,r2,
35.129819999999995,1,4-1,r2,
35.129819999999995,4,4-1,r2,
35.129819999999995,3,4-1,r2,
35.463119999999996,2,w1,,
35.463119999999996,1,w1,,
35.463119999999996,4,w1,,
35.463119999999996,3,w1,,
35.896409999999996,2,1-2,r3,
35.896409999999996,1,1-2,r3,
35.896409999999996,4,1-2,r3,
35.896409999999996,3,1-2,r3,
36.22971,2,w2,,
36.22971,1,w2,,
36.22971,4,w2,,
36.22971,3,w2,,
36.52968,2,2-3,r4,
36.52968,1,2-3,r4,
36.52968,4,2-3,r4,
36.52968,3,2-3,r4,
36.86298,2,w4,,
36.86298,1,lp4,,
36.86298,4,lp4,,
36.86298,3,lp4,,
