time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image
0,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Uhoi,1,0
4.255319,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,141,0
17.021277,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,47,0
17.978723,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,200,4
18.191489,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,170,4
18.723404,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,47,0
19.680851,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,200,4
19.893617,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,170,4
20.425532,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,47,0
21.382979,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,200,4
21.595745,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,170,4
22.12766,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,141,0
23.829787,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,47,0
24.787234,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,200,4
25,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,170,4
25.531915,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,47,0
26.489362,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,200,4
26.702128,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,170,4
27.234043,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,47,0
28.191489,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,200,4
28.404255,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,170,4
28.93617,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,141,0
30.531915,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,282,0
30.744681,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Pause,282,0
32.765957,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,200,10
32.978723,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,240,0
33.510638,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,240,1
34.042553,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Bye,300,0
37.446809,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,141,0
64.680851,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,141,0
67.234043,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Uhoi,70.5,0
67.87234,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Uhoi,141,8
68.297872,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,1,10
68.93617,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,141,10
69.787234,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,1,10
70.638298,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,141,10
71.489362,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,1,10
72.340426,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,141,10
73.191489,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,1,10
74.042553,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,141,10
74.893617,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,1,10
75.744681,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,141,10
76.595745,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,1,10
77.446809,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,141,10
78.297872,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Oioi,141,0
83.404255,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Uhoi,35.25,0
85.106383,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,141,0
85.159574,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Pause,141,0
85.957447,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,PPPH,141,0
86.06383,Uhoi,5,Random3,Pink01,Blue01,Yellow01,,,,,,,,Pause,141,0
