time,lyrics,size
0,,
2.05 ,"you are my destiny, wanna be your everything",
5.92 ,,
10.25 ,"don't stop my pure love, wanna be your only love",
14.03 ,,
18.67 ,eyes 見つめてる いつもいつも あなたのコト,
28.03 ,どんなコトでも 全部全部 知りたくて,
35.37 ,些細な表情も いつものクセも仕草も,
43.90 ,好きよ 大好き 私だけ見て,
51.37 ,深紅のsweet heart 感じるでしょ？,
55.01 ,運命の愛だから止まらない,
59.87 ,おはようから おやすみまで,
63.60 ,あなただけに捧げるの 永遠に,
70.83 ,,
87.98,お願いshow me 見ていてずっと,
91.58,もっと輝く私になるから,
96.37,晴れの日でも 雨の日でも,
99.923,あなただけにあげたいの この愛を,
105.465,"you are my destiny, wanna be your everything",
109.07,,
113.689,"don't stop my pure love, wanna be your only love",
117.63,,
122.025,you are my destiny,
124.37,,
