0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,stay,,
0.03333,1,w1,,
0.03333,2,w1,,b-1
0.03333,3,w1,,b-1
0.03333,4,w1,,b-1
0.03333,5,w1,,b-1
0.06666,MOT_mc_bg_black_00,seat100-0,,
2.3997599999999997,MOT_mc_light_center_00,l5,,
2.3997599999999997,MOT_mc_light_center_00,l1,,
2.3997599999999997,MOT_mc_stage_color_00,b-flash,,
2.3997599999999997,MOT_speaker_00,temp2,,
2.3997599999999997,1,hj1,,
2.53308,MOT_mc_light_center_00,l3,,
2.53308,MOT_mc_stage_color_00,y-flash,,
2.56641,2,sj1,,
2.56641,3,sj1,,
2.6997299999999997,MOT_mc_light_center_00,l4,,
2.6997299999999997,MOT_mc_stage_color_00,r-flash,,
2.73306,4,sj1,,
2.73306,5,sj1,,
2.93304,MOT_mc_light_center_00,l5,,
2.93304,MOT_mc_stage_color_00,b-flash,,
2.9997,1,hj1,,
3.06636,2,w1,,
3.06636,3,w1,,
3.09969,MOT_mc_light_center_00,l4,,
3.09969,MOT_mc_stage_color_00,r-flash,,
3.2330099999999997,4,w1,,
3.2330099999999997,5,w1,,
3.26634,MOT_mc_light_center_00,l5,,
3.26634,MOT_mc_bg_black_00,b80-20-65,,
3.26634,MOT_mc_stage_color_00,y-flash,,
3.7662899999999997,1,1-2,,
3.8662799999999997,2,1-2,,
3.8662799999999997,3,1-2,,
3.9662699999999997,4,1-2,,
3.9662699999999997,5,1-2,,
4.26624,1,w2,,
4.36623,2,w2,,
4.36623,3,w2,,
4.46622,4,w2,,
4.46622,5,w2,,
6.9993,MOT_mc_light_center_00,l3,,
6.9993,MOT_mc_stage_color_00,r-flash,,
6.9993,4,2-3,,
6.9993,5,2-3,,
7.09929,2,2-3,,
7.09929,3,2-3,,
7.19928,1,2-3,,
7.8325499999999995,4,w3,,
7.8325499999999995,5,w3,,
7.9325399999999995,2,w3,,
7.9325399999999995,3,w3,,
8.03253,1,w3,,
10.43229,MOT_mc_light_center_00,l4,,
10.43229,MOT_mc_stage_color_00,b-flash,,
10.43229,1,j3-4,,
10.53228,2,j3-4,,
10.53228,3,j3-4,,
10.63227,4,j3-4,,
10.63227,5,j3-4,,
10.93224,1,w4,,
11.03223,2,w4,,
11.03223,3,w4,,
11.13222,4,w4,,
11.13222,5,w4,,
13.931939999999999,MOT_mc_light_center_00,l5,,
13.931939999999999,MOT_mc_stage_color_00,b-flash,,
13.931939999999999,1,4-1,,
14.03193,2,4-1,,
14.03193,3,4-1,,
14.13192,4,4-1,,
14.13192,5,4-1,,
14.43189,1,w1,,
14.53188,2,w1,,
14.53188,3,w1,,
14.63187,4,w1,,
14.63187,5,w1,,
15.665099999999999,MOT_mc_stage_color_00,y-flash,,
15.665099999999999,MOT_mc_light_center_00,l4,,
15.665099999999999,MOT_mc_bg_black_00,b65-35-65,,
15.665099999999999,1,1-2,,f1
15.765089999999999,2,1-3,,
15.765089999999999,3,1-3,,
15.865079999999999,MOT_mc_stage_color_00,b-flash,,
15.865079999999999,MOT_mc_light_center_00,l3,,
15.865079999999999,4,1-3,,
15.865079999999999,5,1-3,,
16.06506,MOT_mc_stage_color_00,r-flash,,
16.06506,MOT_mc_light_center_00,l5,,
16.131719999999998,2,sp3-4,,
16.131719999999998,3,sp3-4,,
16.23171,4,sp3-4,,
16.23171,5,sp3-4,,
16.26504,MOT_mc_stage_color_00,b-flash,,
16.26504,MOT_mc_light_center_00,l3,,
16.46502,MOT_mc_stage_color_00,y-flash,,
16.46502,MOT_mc_light_center_00,l5,,
16.56501,1,2-3,,
16.63167,MOT_mc_stage_color_00,r-flash,,
16.63167,MOT_mc_light_center_00,l4,,
16.76499,MOT_mc_stage_color_00,y-flash,,
16.76499,MOT_mc_light_center_00,l3,,
16.83165,1,3-4,,
16.89831,MOT_mc_stage_color_00,b-flash,,
16.89831,MOT_mc_light_center_00,l4,,
16.9983,MOT_mc_stage_color_00,r-flash,,
16.9983,MOT_mc_light_center_00,l3,,
17.09829,MOT_mc_stage_color_00,y-flash,,
17.09829,MOT_mc_light_center_00,l5,,
17.164949999999997,1,hj4,,
17.19828,MOT_mc_stage_color_00,b-flash,,
17.19828,MOT_mc_light_center_00,l3,,
17.23161,2,hj4,,
17.23161,3,hj4,,
17.29827,MOT_mc_stage_color_00,y-flash,,
17.29827,MOT_mc_light_center_00,l5,,
17.29827,MOT_mc_bg_black_00,b65-20_2,,
17.29827,4,hj4,,
17.29827,5,hj4,,
17.83155,1,j4-3,,
17.89821,2,j4-2,,
17.89821,3,j4-2,,
17.964869999999998,4,j4-2,,
17.964869999999998,5,j4-2,,
18.3315,1,3-2,,
18.39816,2,lp2,,
18.39816,3,lp2,,
18.46482,4,lp2,,
18.46482,5,lp2,,
18.69813,1,sj2,,
19.198079999999997,1,2-4,r1,
19.53138,1,lp4,rb0,
19.89801,1,4-1,l1,
20.23131,1,j1-3,lb0,
21.06456,1,lp3,l1,
21.3312,1,3-2,lb0,
21.6645,1,lp2,r1,
21.93114,1,2-4,rb0,
22.26444,1,sj4,,
22.76439,1,4-1,,
23.031029999999998,1,1-2,,
23.29767,1,2-3,,
23.53098,1,3-4,,
23.76429,1,hj4,,
23.830949999999998,MOT_mc_stage_color_00,b-flash,,
23.830949999999998,MOT_mc_light_center_00,l3,,
23.830949999999998,MOT_mc_bg_black_00,b20-45-20,,
23.830949999999998,2,j2-3,,
23.830949999999998,3,j2-3,,
23.89761,4,j2-3,,
23.89761,5,j2-3,,
24.09759,MOT_mc_stage_color_00,r-flash,,
24.09759,MOT_mc_light_center_00,l5,,
24.09759,MOT_mc_bg_black_00,b20-45-20,,
24.3309,2,lp3,,
24.3309,3,lp3,,
24.39756,4,lp3,,
24.39756,5,lp3,,
24.430889999999998,1,4-2,,
24.79752,1,sj2,,
25.3308,1,j2-3,,
26.16405,1,3-1,,
26.53068,1,1-2,,
26.897309999999997,1,2-4,,
27.263939999999998,1,sj4,,
27.36393,2,3-2,,
27.36393,3,3-2,,
27.463919999999998,4,3-2,,
27.463919999999998,5,3-2,,
27.697229999999998,2,lp2,,
27.697229999999998,3,lp2,,
27.76389,1,4-1,l1,
27.83055,4,lp2,,
27.83055,5,lp2,,
28.06386,1,1-3,lb0,
28.39716,1,3-2,r1,
28.76379,1,2-4,rb0,
29.097089999999998,1,4-1,l1,
29.46372,MOT_mc_stage_color_00,b-flash,,
29.46372,MOT_mc_light_center_00,l3,,
29.46372,MOT_mc_bg_black_00,b20-45-20,,
29.46372,1,1-3,lb0,
29.79702,1,j3-4,,
29.897009999999998,MOT_mc_stage_color_00,r-flash,,
29.897009999999998,MOT_mc_light_center_00,l4,,
30.296969999999998,1,hj4,,
30.39696,MOT_mc_stage_color_00,y-flash,,
30.39696,MOT_mc_bg_black_00,b20-45-20,,
30.39696,MOT_mc_light_center_00,l5,,
